================================================================================
=== Estadísticas descriptivas: Conjunto completo ===
================================================================================

                               count                           mean                            min                            25%                            50%                            75%                            max       std
5K                        18603.0000                      1622.6213                       710.9700                      1470.5700                      1613.7370                      1751.0500                      2450.4200  203.4081
10K                       18603.0000                      1622.8212                       176.9790                      1465.1275                      1604.4980                      1746.7650                      3522.3500  221.0000
15K                       18603.0000                      1633.0325                      1059.5940                      1476.3650                      1613.4660                      1753.2805                      4695.5830  219.4345
20K                       18603.0000                      1633.2959                        70.0900                      1467.7665                      1605.7740                      1759.6265                      3009.0390  233.7201
Media                     18603.0000                       370.5925                        73.1590                       325.5525                       359.0480                       398.2500                      2069.0430   70.4352
25K                       18603.0000                      1299.9845                       610.1490                      1152.0685                      1270.2730                      1403.4360                      2545.0280  207.4932
30K                       18603.0000                      1758.5253                      1090.9400                      1517.1655                      1690.2700                      1921.6720                      6497.6700  331.1386
35K                       18603.0000                      1796.0935                       477.7800                      1537.0900                      1711.1570                      1975.2400                      7616.1400  356.0227
40K                       18603.0000                      1881.8884                        58.0410                      1593.7600                      1798.5360                      2099.4335                      4704.8400  382.8444
Meta                      18603.0000                       791.4255                       427.0880                       683.8105                       766.1940                       871.8835                      7586.0740  158.3119
rawTime_5K                     18603  2025-03-16 08:30:11.054467072  2025-03-16 07:48:19.908999936  2025-03-16 08:13:01.664999936  2025-03-16 08:32:25.603000064  2025-03-16 08:44:09.635000064  2025-03-16 09:08:01.779000064       NaN
rawTime_10K                    18603  2025-03-16 08:57:13.875674624  2025-03-16 08:05:23.049999872     2025-03-16 08:38:22.464000  2025-03-16 08:58:41.215000064  2025-03-16 09:13:01.339000064  2025-03-16 09:49:02.592999936       NaN
rawTime_15K                    18603  2025-03-16 09:24:26.908141312  2025-03-16 08:23:10.672999936  2025-03-16 09:03:46.020499968  2025-03-16 09:25:31.087000064     2025-03-16 09:41:56.672000     2025-03-16 10:32:45.088000       NaN
rawTime_20K                    18603  2025-03-16 09:51:40.204000256  2025-03-16 08:40:40.652999936  2025-03-16 09:28:53.342499840  2025-03-16 09:52:17.643000064  2025-03-16 10:11:18.429999872  2025-03-16 11:13:16.425999872       NaN
rawTime_Media                  18603  2025-03-16 09:57:50.796531712     2025-03-16 08:44:39.232000  2025-03-16 09:34:27.516499968  2025-03-16 09:58:14.312999936  2025-03-16 10:17:53.611500032     2025-03-16 11:22:11.880000       NaN
rawTime_25K                    18603  2025-03-16 10:19:30.780996608  2025-03-16 08:58:53.070000128  2025-03-16 09:54:07.730000128  2025-03-16 10:19:27.828999936     2025-03-16 10:41:31.960000  2025-03-16 11:57:18.316999936       NaN
rawTime_30K                    18603  2025-03-16 10:48:49.568814848     2025-03-16 09:18:47.100000  2025-03-16 10:20:10.135000064     2025-03-16 10:47:48.380000  2025-03-16 11:13:34.015000064  2025-03-16 12:43:15.630000128       NaN
rawTime_35K                    18603  2025-03-16 11:18:45.200966656  2025-03-16 09:42:17.230000128  2025-03-16 10:46:18.490000128  2025-03-16 11:17:05.771000064  2025-03-16 11:46:32.539500032  2025-03-16 13:26:12.238000128       NaN
rawTime_40K                    18603  2025-03-16 11:50:07.089381376  2025-03-16 09:49:23.780999936  2025-03-16 11:13:29.778999808  2025-03-16 11:47:45.657999872  2025-03-16 12:21:33.762500096     2025-03-16 14:12:49.696000       NaN
rawTime_Meta                   18603  2025-03-16 12:03:18.514890752     2025-03-16 10:16:19.068000  2025-03-16 11:24:45.330999808  2025-03-16 12:00:39.196999936  2025-03-16 12:36:03.619000064     2025-03-16 14:33:54.220000       NaN
gender                    18568.0000                         0.2515                         0.0000                         0.0000                         0.0000                         1.0000                         1.0000    0.4339
age                       18603.0000                        38.7822                         1.0157                        28.8556                        37.4100                        47.7029                        92.2327   11.6088
total_time_sec            18603.0000                     14410.2805                      9862.7280                     12735.4155                     14106.8060                     15733.2830                     23356.9930 2161.7824
pace_5K                   18603.0000                         3.1298                         2.0405                         2.8554                         3.0984                         3.4000                         7.0326    0.3910
pace_10K                  18603.0000                         3.1373                         1.4195                         2.8624                         3.1162                         3.4127                        28.2519    0.4607
pace_15K                  18603.0000                         3.1144                         1.0648                         2.8518                         3.0989                         3.3867                         4.7188    0.3987
pace_20K                  18603.0000                         3.1234                         1.6617                         2.8415                         3.1138                         3.4065                        71.3369    0.6517
pace_Media                18603.0000                         2.7753                         0.4833                         2.5110                         2.7851                         3.0717                        13.6689    0.4364
pace_25K                  18603.0000                         3.1475                         1.5717                         2.8501                         3.1489                         3.4720                         6.5558    0.4535
pace_30K                  18603.0000                         2.9318                         0.7695                         2.6019                         2.9581                         3.2956                         4.5832    0.4848
pace_35K                  18603.0000                         2.8804                         0.6565                         2.5313                         2.9220                         3.2529                        10.4651    0.5088
pace_40K                  18603.0000                         2.7624                         1.0627                         2.3816                         2.7800                         3.1372                        86.1460    0.8077
pace_Meta                 18603.0000                         2.8635                         0.2893                         2.5175                         2.8648                         3.2100                         5.1395    0.4888
inc_5K_10K                18603.0000                         0.1999                     -1723.2310                       -28.4365                        -7.3030                        16.5430                      2700.9420   67.0047
inc_10K_15K               18603.0000                        10.2113                     -1213.1030                        -6.6655                        12.0860                        31.2570                      2782.2800   67.0580
inc_15K_20K               18603.0000                         0.2634                     -2823.9520                       -21.2785                        -6.1070                        11.6370                       900.1400   68.9576
inc_20K_Media             18603.0000                     -1262.7033                     -2503.7440                     -1356.0390                     -1244.7970                     -1138.4660                      1534.4530  179.1997
inc_Media_25K             18603.0000                       929.3919                      -539.3130                       823.3880                       907.0740                      1002.1555                      2107.4720  153.3552
inc_25K_30K               18603.0000                       458.5408                      -302.6160                       357.1835                       412.8480                       511.2065                      5533.6150  163.8982
inc_30K_35K               18603.0000                        37.5682                     -4883.2900                       -15.9960                        18.3750                        72.4380                      5777.8800  158.9768
inc_35K_40K               18603.0000                        85.7949                     -4912.6980                        14.9730                        59.2410                       130.4215                      2640.0560  163.1481
inc_40K_Meta              18603.0000                     -1090.4629                     -3870.5510                     -1227.3165                     -1025.9550                      -900.8235                      5917.5430  271.0438
delta_pace_5K_pace_10K    18603.0000                         0.0075                        -4.6676                        -0.0328                         0.0149                         0.0571                        25.1045    0.2425
delta_pace_10K_pace_15K   18603.0000                        -0.0229                       -25.1397                        -0.0628                        -0.0249                         0.0132                         1.8688    0.2352
delta_pace_15K_pace_20K   18603.0000                         0.0090                        -1.4722                        -0.0218                         0.0125                         0.0442                        67.9885    0.5068
delta_pace_20K_pace_Media 18603.0000                        -0.3481                       -70.7136                        -0.3767                        -0.3251                        -0.2819                        11.0739    0.5434
delta_pace_Media_pace_25K 18603.0000                         0.3722                       -11.2309                         0.3118                         0.3668                         0.4211                         3.1742    0.1835
delta_pace_25K_pace_30K   18603.0000                        -0.2157                        -3.8247                        -0.2718                        -0.1822                        -0.1272                         1.1212    0.1569
delta_pace_30K_pace_35K   18603.0000                        -0.0515                        -2.6929                        -0.1161                        -0.0333                         0.0290                         6.9110    0.2052
delta_pace_35K_pace_40K   18603.0000                        -0.1180                        -7.0192                        -0.1905                        -0.0979                        -0.0259                        81.9453    0.6539
delta_pace_40K_pace_Meta  18603.0000                         0.1011                       -84.7871                         0.0038                         0.0962                         0.2014                         2.0030    0.6783
dist_acum_5K              18603.0000                      5000.0000                      5000.0000                      5000.0000                      5000.0000                      5000.0000                      5000.0000    0.0000
dist_acum_10K             18603.0000                     10000.0000                     10000.0000                     10000.0000                     10000.0000                     10000.0000                     10000.0000    0.0000
dist_acum_15K             18603.0000                     15000.0000                     15000.0000                     15000.0000                     15000.0000                     15000.0000                     15000.0000    0.0000
dist_acum_20K             18603.0000                     20000.0000                     20000.0000                     20000.0000                     20000.0000                     20000.0000                     20000.0000    0.0000
dist_acum_Media           18603.0000                     21000.0000                     21000.0000                     21000.0000                     21000.0000                     21000.0000                     21000.0000    0.0000
dist_acum_25K             18603.0000                     25000.0000                     25000.0000                     25000.0000                     25000.0000                     25000.0000                     25000.0000    0.0000
dist_acum_30K             18603.0000                     30000.0000                     30000.0000                     30000.0000                     30000.0000                     30000.0000                     30000.0000    0.0000
dist_acum_35K             18603.0000                     35000.0000                     35000.0000                     35000.0000                     35000.0000                     35000.0000                     35000.0000    0.0000
dist_acum_40K             18603.0000                     40000.0000                     40000.0000                     40000.0000                     40000.0000                     40000.0000                     40000.0000    0.0000
dist_acum_Meta            18603.0000                     42195.0000                     42195.0000                     42195.0000                     42195.0000                     42195.0000                     42195.0000    0.0000
time_acum_5K              18603.0000                      1622.6213                       710.9700                      1470.5700                      1613.7370                      1751.0500                      2450.4200  203.4081
time_acum_10K             18603.0000                      3245.4425                      1765.5850                      2936.6525                      3219.9330                      3496.0180                      5071.9860  419.4545
time_acum_15K             18603.0000                      4878.4750                      3102.9550                      4416.0340                      4833.7710                      5250.5760                      8338.3810  633.1196
time_acum_20K             18603.0000                      6511.7709                      4152.9350                      5889.7770                      6442.0520                      7008.4075                     10489.0740  858.9683
time_acum_Media           18603.0000                      6882.3634                      4391.5140                      6217.3620                      6801.8080                      7409.0655                     11094.1050  918.1307
time_acum_25K             18603.0000                      8182.3479                      5245.3520                      7377.1865                      8074.9290                      8813.6825                     13259.7500 1112.5834
time_acum_30K             18603.0000                      9940.8731                      6421.9440                      8893.6445                      9787.2700                     10744.0025                     16161.6800 1408.7635
time_acum_35K             18603.0000                     11736.9666                      7832.0740                     10435.9580                     11525.7150                     12739.0525                     19117.5500 1715.5515
time_acum_40K             18603.0000                     13618.8550                      8247.4410                     12038.0815                     13342.4390                     14850.9145                     22056.8840 2040.9153
time_acum_Meta            18603.0000                     14410.2805                      9862.7280                     12735.4155                     14106.8060                     15733.2830                     23356.9930 2161.7824
pace_mean_5K              18603.0000                         3.1298                         2.0405                         2.8554                         3.0984                         3.4000                         7.0326    0.3910
pace_std_5K               18603.0000                         0.0000                         0.0000                         0.0000                         0.0000                         0.0000                         0.0000    0.0000
pace_cv_5K                18603.0000                         0.0000                         0.0000                         0.0000                         0.0000                         0.0000                         0.0000    0.0000
pace_mean_10K             18603.0000                         3.1335                         1.9739                         2.8612                         3.1063                         3.4060                        15.6997    0.4097
pace_std_10K              18603.0000                         0.0333                         0.0000                         0.0108                         0.0237                         0.0419                        12.5523    0.1167
pace_cv_10K               18603.0000                         0.0107                         0.0000                         0.0034                         0.0076                         0.0136                         0.7995    0.0160
pace_mean_15K             18603.0000                         3.1272                         1.9352                         2.8577                         3.1041                         3.3975                        11.5039    0.4006
pace_std_15K              18603.0000                         0.0441                         0.0001                         0.0208                         0.0336                         0.0522                        11.8427    0.1114
pace_cv_15K               18603.0000                         0.0144                         0.0000                         0.0066                         0.0106                         0.0170                         1.0295    0.0184
pace_mean_20K             18603.0000                         3.1262                         1.9100                         2.8550                         3.1057                         3.3969                        20.5041    0.4211
pace_std_20K              18603.0000                         0.0527                         0.0012                         0.0250                         0.0381                         0.0598                        29.3486    0.2392
pace_cv_20K               18603.0000                         0.0170                         0.0005                         0.0078                         0.0121                         0.0195                         1.4314    0.0231
pace_mean_Media           18603.0000                         3.0560                         1.8585                         2.7837                         3.0406                         3.3290                        16.5279    0.4135
pace_std_Media            18603.0000                         0.1539                         0.0199                         0.1147                         0.1342                         0.1647                        27.4283    0.2302
pace_cv_Media             18603.0000                         0.0512                         0.0067                         0.0369                         0.0429                         0.0542                         1.6595    0.0324
pace_mean_25K             18603.0000                         3.0713                         1.8566                         2.7959                         3.0571                         3.3495                        14.3991    0.4152
pace_std_25K              18603.0000                         0.1536                         0.0524                         0.1185                         0.1341                         0.1593                        25.4870    0.2140
pace_cv_25K               18603.0000                         0.0509                         0.0162                         0.0378                         0.0424                         0.0521                         1.7700    0.0316
pace_mean_30K             18603.0000                         3.0513                         1.8375                         2.7689                         3.0393                         3.3420                        12.8295    0.4186
pace_std_30K              18603.0000                         0.1606                         0.0511                         0.1154                         0.1340                         0.1736                        23.9075    0.2054
pace_cv_30K               18603.0000                         0.0540                         0.0172                         0.0364                         0.0425                         0.0589                         1.8635    0.0353
pace_mean_35K             18603.0000                         3.0300                         1.8193                         2.7384                         3.0206                         3.3327                        11.6520    0.4207
pace_std_35K              18603.0000                         0.1738                         0.0528                         0.1143                         0.1392                         0.1997                        22.5794    0.2029
pace_cv_35K               18603.0000                         0.0591                         0.0169                         0.0360                         0.0450                         0.0690                         1.9378    0.0404
pace_mean_40K             18603.0000                         3.0002                         1.8061                         2.7008                         2.9941                         3.3117                        13.3407    0.4279
pace_std_40K              18603.0000                         0.1984                         0.0500                         0.1194                         0.1602                         0.2395                        25.7409    0.2790
pace_cv_40K               18603.0000                         0.0678                         0.0160                         0.0379                         0.0531                         0.0847                         1.9991    0.0480
pace_mean_Meta            18603.0000                         2.9866                         1.7944                         2.6856                         2.9825                         3.2998                        12.1425    0.4243
pace_std_Meta             18603.0000                         0.2074                         0.0564                         0.1244                         0.1712                         0.2525                        24.6831    0.2699
pace_cv_Meta              18603.0000                         0.0712                         0.0195                         0.0399                         0.0573                         0.0896                         2.0458    0.0492
fatigue_5K                18603.0000                         1.0000                         1.0000                         1.0000                         1.0000                         1.0000                         1.0000    0.0000
fatigue_10K               18603.0000                         1.0005                         0.3782                         0.9948                         1.0023                         1.0090                         1.7995    0.0193
fatigue_15K               18603.0000                         0.9960                         0.2705                         0.9883                         0.9969                         1.0056                         1.3213    0.0222
fatigue_20K               18603.0000                         0.9978                         0.3304                         0.9904                         1.0012                         1.0107                         3.4791    0.0331
fatigue_Media             18603.0000                         0.9061                         0.0377                         0.8985                         0.9184                         0.9307                         2.6588    0.0528
fatigue_25K               18603.0000                         1.0238                         0.2608                         1.0142                         1.0320                         1.0439                         1.5714    0.0420
fatigue_30K               18603.0000                         0.9581                         0.2094                         0.9342                         0.9768                         0.9995                         1.2339    0.0629
fatigue_35K               18603.0000                         0.9480                         0.2361                         0.9118                         0.9669                         0.9992                         2.3284    0.0813
