athlete_id,race_id,split,fold,valor_real,valor_imputado,abs_error,gender,age,age_group,rel_error,rel_error_pct
6Z8D5YB1,49603c2f-1b2b-457f-b82e-fed8bded1d3d,5K,1,1295.877,2080.6245,784.74751171875,1.0,55.03901437371663,50-60,-0.6055725281899266,60.55725281899266
7FZB57CD,49603c2f-1b2b-457f-b82e-fed8bded1d3d,5K,2,821.408,1882.27,1060.86201953125,0.0,33.045859000684466,30-40,-1.291516540184334,129.1516540184334
FC3AA1DD,49603c2f-1b2b-457f-b82e-fed8bded1d3d,5K,2,889.933,1809.7668,919.833845703125,0.0,54.9678302532512,50-60,-1.0335989840465811,103.35989840465811
9669FA56,49603c2f-1b2b-457f-b82e-fed8bded1d3d,5K,3,710.97,1664.5349,953.564912109375,1.0,35.61396303901437,30-40,-1.3412168034771623,134.12168034771622
FC3AA1DD,49603c2f-1b2b-457f-b82e-fed8bded1d3d,5K,3,889.933,1767.128,877.1950517578125,0.0,54.9678302532512,50-60,-0.9856866199726563,98.56866199726562
A588572Z,49603c2f-1b2b-457f-b82e-fed8bded1d3d,5K,4,988.641,1513.014,524.3730380859375,0.0,53.776865160848736,50-60,-0.5303978264663712,53.03978264663712
FC3AA1DD,49603c2f-1b2b-457f-b82e-fed8bded1d3d,5K,4,889.933,1768.3055,878.3725419921875,0.0,54.9678302532512,50-60,-0.9870097423122615,98.70097423122614
Z738ZD1F,49603c2f-1b2b-457f-b82e-fed8bded1d3d,10K,1,1810.5829999999999,619.3202,1191.2628095703124,0.0,22.68309377138946,20-30,0.6579443245144619,65.7944324514462
7Z33Y4YC,49603c2f-1b2b-457f-b82e-fed8bded1d3d,10K,2,176.97900000000004,1575.6182,1398.6391640625,0.0,55.94798083504449,50-60,-7.9028537632128435,790.2853763212844
7Z33Y4YC,49603c2f-1b2b-457f-b82e-fed8bded1d3d,10K,3,176.97900000000004,1581.2319,1404.25293359375,0.0,55.94798083504449,50-60,-7.93457373846149,793.4573738461489
9A4CBB9B,49603c2f-1b2b-457f-b82e-fed8bded1d3d,10K,3,522.623,1288.4235,765.8004619140625,0.0,42.43668720054757,40-50,-1.4653018723798235,146.53018723798235
Z738ZD1F,49603c2f-1b2b-457f-b82e-fed8bded1d3d,10K,3,1810.5829999999999,563.1626,1247.4204023437499,0.0,22.68309377138946,20-30,0.6889606285129095,68.89606285129095
YCDB554Z,49603c2f-1b2b-457f-b82e-fed8bded1d3d,15K,3,4695.583,1842.0625,2853.5204999999996,0.0,24.698151950718685,20-30,0.6077031327935842,60.770313279358426
6A981YDZ,49603c2f-1b2b-457f-b82e-fed8bded1d3d,20K,1,70.09000000000015,1439.0604,1368.9704248046874,0.0,35.383983572895275,30-40,-19.53160800789095,1953.1608007890948
6A981YDZ,49603c2f-1b2b-457f-b82e-fed8bded1d3d,20K,3,70.09000000000015,1452.0151,1381.9251367187499,0.0,35.383983572895275,30-40,-19.716437680158503,1971.6437680158504
6A981YDZ,49603c2f-1b2b-457f-b82e-fed8bded1d3d,20K,5,70.09000000000015,1413.1891,1343.0990869140624,0.0,35.383983572895275,30-40,-19.16249204953014,1916.249204953014
6A981YDZ,49603c2f-1b2b-457f-b82e-fed8bded1d3d,Media,1,1604.5429999999997,304.4017,1300.1412971191403,0.0,35.383983572895275,30-40,0.8102875998392395,81.02875998392395
6Y7F65F8,49603c2f-1b2b-457f-b82e-fed8bded1d3d,Media,1,1075.8369999999995,535.5781,540.2588749999995,1.0,37.275838466803556,30-40,0.502175398780507,50.2175398780507
AA431536,49603c2f-1b2b-457f-b82e-fed8bded1d3d,Media,1,1009.3130000000001,426.17487,583.1381342773439,0.0,66.68035592060232,60+,0.5777574783041398,57.775747830413984
1A17F191,49603c2f-1b2b-457f-b82e-fed8bded1d3d,Media,2,296.6680000000006,445.67657,149.00857470703068,0.0,55.43326488706366,50-60,-0.5022738354145259,50.22738354145259
34YY6384,49603c2f-1b2b-457f-b82e-fed8bded1d3d,Media,2,393.5509999999995,650.90454,257.3535410156255,0.0,28.48186173853525,20-30,-0.6539267855035283,65.39267855035284
5AYC2879,49603c2f-1b2b-457f-b82e-fed8bded1d3d,Media,2,461.6210000000001,731.8026,270.1816123046874,0.0,48.46543463381246,40-50,-0.5852888229075335,58.528882290753344
6Y7F65F8,49603c2f-1b2b-457f-b82e-fed8bded1d3d,Media,2,1075.8369999999995,513.4175,562.4195195312495,1.0,37.275838466803556,30-40,0.5227739137141368,52.277391371413685
769FAF62,49603c2f-1b2b-457f-b82e-fed8bded1d3d,Media,2,495.5560000000005,843.8639,348.307891601562,0.0,53.79329226557152,50-60,-0.7028628266002204,70.28628266002204
8Y2B2549,49603c2f-1b2b-457f-b82e-fed8bded1d3d,Media,2,73.15899999999965,626.40875,553.2497524414066,0.0,34.53798767967146,30-40,-7.562292334218851,756.229233421885
AZ8Y8D64,49603c2f-1b2b-457f-b82e-fed8bded1d3d,Media,2,363.91399999999976,777.6628,413.748780761719,0.0,29.36892539356605,20-30,-1.1369410894463476,113.69410894463476
Z95B6F54,49603c2f-1b2b-457f-b82e-fed8bded1d3d,Media,2,544.1749999999993,848.66156,304.4865600585945,1.0,39.20876112251882,30-40,-0.5595379418368299,55.953794183682994
1FB874D9,49603c2f-1b2b-457f-b82e-fed8bded1d3d,Media,3,954.4030000000002,463.3471,491.0558930664065,1.0,48.91444216290212,40-50,0.5145162919143067,51.45162919143067
21CB8ZAA,49603c2f-1b2b-457f-b82e-fed8bded1d3d,Media,3,355.91200000000026,562.4832,206.571215332031,0.0,41.275838466803556,40-50,-0.5803996907989367,58.03996907989367
6A981YDZ,49603c2f-1b2b-457f-b82e-fed8bded1d3d,Media,3,1604.5429999999997,285.94553,1318.5974738769528,0.0,35.383983572895275,30-40,0.8217900505347397,82.17900505347397
8A9Y52CB,49603c2f-1b2b-457f-b82e-fed8bded1d3d,Media,3,899.7930000000006,435.15225,464.64074780273495,0.0,32.13141683778234,30-40,0.5163862658259715,51.63862658259715
AZ8Y8D64,49603c2f-1b2b-457f-b82e-fed8bded1d3d,Media,3,363.91399999999976,578.02515,214.11114648437524,0.0,29.36892539356605,20-30,-0.5883564410712941,58.83564410712941
8A9Y52CB,49603c2f-1b2b-457f-b82e-fed8bded1d3d,Media,4,899.7930000000006,438.2692,461.52380444335995,0.0,32.13141683778234,30-40,0.5129221986950748,51.292219869507484
AZ8Y8D64,49603c2f-1b2b-457f-b82e-fed8bded1d3d,Media,4,363.91399999999976,619.50867,255.59466699218774,0.0,29.36892539356605,20-30,-0.7023490887677826,70.23490887677826
1932CCC2,49603c2f-1b2b-457f-b82e-fed8bded1d3d,Media,5,1012.7119999999995,503.93362,508.7783757324214,1.0,39.02258726899384,30-40,0.5023919685261256,50.23919685261256
3483A844,49603c2f-1b2b-457f-b82e-fed8bded1d3d,Media,5,388.1740000000009,600.5443,212.3703115234366,0.0,40.832306639288156,40-50,-0.5471008129764882,54.71008129764881
6A981YDZ,49603c2f-1b2b-457f-b82e-fed8bded1d3d,Media,5,1604.5429999999997,288.5296,1316.0133979492184,0.0,35.383983572895275,30-40,0.8201795758225482,82.01795758225482
C279DB3C,49603c2f-1b2b-457f-b82e-fed8bded1d3d,25K,5,610.1490000000003,1201.002,590.8529531249997,0.0,43.83846680355921,40-50,-0.9683748595123888,96.83748595123888
1F63FC63,49603c2f-1b2b-457f-b82e-fed8bded1d3d,30K,1,1477.96,3375.8674,1897.907431640625,0.0,41.83436002737851,40-50,-1.2841399160711284,128.41399160711285
8YB3D2A5,49603c2f-1b2b-457f-b82e-fed8bded1d3d,30K,1,1340.6989999999996,2115.9045,775.2055410156254,0.0,33.48117727583847,30-40,-0.5782099788523863,57.82099788523863
D1A73644,49603c2f-1b2b-457f-b82e-fed8bded1d3d,30K,1,1331.5100000000002,2055.1355,723.6254980468748,0.0,40.616016427104725,40-50,-0.5434623078335216,54.346230783352155
649B1971,49603c2f-1b2b-457f-b82e-fed8bded1d3d,30K,2,3698.0,1805.0233,1892.9766845703125,0.0,25.56331279945243,20-30,0.5118920184041159,51.18920184041159
8YB3D2A5,49603c2f-1b2b-457f-b82e-fed8bded1d3d,30K,2,1340.6989999999996,2312.894,972.1950429687504,0.0,33.48117727583847,30-40,-0.725140424691605,72.5140424691605
D1BF1A5D,49603c2f-1b2b-457f-b82e-fed8bded1d3d,30K,3,1182.4700000000003,1855.002,672.5319531249997,0.0,40.930869267624914,40-50,-0.5687518098186404,56.875180981864034
649B1971,49603c2f-1b2b-457f-b82e-fed8bded1d3d,30K,4,3698.0,1763.2009,1934.799072265625,0.0,25.56331279945243,20-30,0.523201479649114,52.3201479649114
Y196Y4Z2,49603c2f-1b2b-457f-b82e-fed8bded1d3d,30K,4,6497.669999999999,1410.116,5087.554033203124,0.0,30.001368925393567,30-40,0.7829812890497891,78.29812890497891
A4687ZA6,49603c2f-1b2b-457f-b82e-fed8bded1d3d,30K,5,3332.080000000001,1193.4557,2138.6243115234383,0.0,39.35934291581109,30-40,0.6418286208259133,64.18286208259133
DYBC9A76,49603c2f-1b2b-457f-b82e-fed8bded1d3d,35K,1,901.1489999999994,2047.6982,1146.5492421875006,0.0,19.003422313483917,<20,-1.2723192734111473,127.23192734111473
FCY2284D,49603c2f-1b2b-457f-b82e-fed8bded1d3d,35K,1,7616.140000000001,2204.8022,5411.337753906251,0.0,44.24914442162902,40-50,0.7105092281911495,71.05092281911494
3Z1888CB,49603c2f-1b2b-457f-b82e-fed8bded1d3d,35K,2,674.8069999999989,1736.147,1061.3399726562511,0.0,65.0403832991102,60+,-1.5728052185046208,157.2805218504621
93DA6741,49603c2f-1b2b-457f-b82e-fed8bded1d3d,35K,2,824.7909999999993,2395.5671,1570.7761386718757,0.0,44.70636550308008,40-50,-1.9044535364321673,190.44535364321672
C911F9CD,49603c2f-1b2b-457f-b82e-fed8bded1d3d,35K,2,720.3300000000008,1336.6239,616.2939013671867,0.0,52.32032854209446,50-60,-0.8555716137209534,85.55716137209534
DYBC9A76,49603c2f-1b2b-457f-b82e-fed8bded1d3d,35K,2,901.1489999999994,2181.2288,1280.0797597656256,0.0,19.003422313483917,<20,-1.4204973410003552,142.04973410003552
