split.time,issue_id,athlete_id,event,split_name
2387000,255c8590-ec3f-11ef-a9ce-21a37501454e,FB39347C,*,15K
3190000,23927e80-ec40-11ef-a9ce-21a37501454e,FB39347C,*,20K
2407000,a96fc7f0-ec87-11ef-9fbf-7f71dc6237c2,FB39347C,*,15K
3219000,b17ffd70-ec87-11ef-9fbf-7f71dc6237c2,FB39347C,*,20K
135,30e35830-edd4-11ef-b466-7dd3de2d020f,FB39347C,*,Salida
0,ba0f10a0-ec6b-11ef-ad80-4f50f5b48258,L3738189,*,Salida
1000,ba0f10a0-ec6b-11ef-ad80-4f50f5b48258,DCFZ8295,*,Salida
3853000,56fcc450-ec41-11ef-a9ce-21a37501454e,B919A72F,*,Meta
1000,ba0f10a0-ec6b-11ef-ad80-4f50f5b48258,B919A72F,*,Salida
3985000,6308ea20-ec42-11ef-a9ce-21a37501454e,38CD13FD,*,Meta
1000,ba0f10a0-ec6b-11ef-ad80-4f50f5b48258,38CD13FD,*,Salida
4099000,8d74bf50-ec42-11ef-a9ce-21a37501454e,2A1888C1,*,Meta
4099000,8da19bb0-ec42-11ef-8690-7373a90c64df,2A1888C1,*,Meta
0,ba0f10a0-ec6b-11ef-ad80-4f50f5b48258,2A1888C1,*,Salida
4106000,abb69100-ec42-11ef-8690-7373a90c64df,DY714491,*,Meta
1000,ba0f10a0-ec6b-11ef-ad80-4f50f5b48258,DY714491,*,Salida
4143000,b80e3430-ec42-11ef-8690-7373a90c64df,ZC8AC726,*,Meta
0,ba0f10a0-ec6b-11ef-ad80-4f50f5b48258,ZC8AC726,*,Salida
3592000,81f6e4e0-ec43-11ef-8690-7373a90c64df,7AF6AB99,*,Meta
0,ba0f10a0-ec6b-11ef-ad80-4f50f5b48258,7AF6AB99,*,Salida
0,ba0f10a0-ec6b-11ef-ad80-4f50f5b48258,CD12D9ZZ,*,Salida
1000,ba0f10a0-ec6b-11ef-ad80-4f50f5b48258,CD48319C,*,Salida
0,ba0f10a0-ec6b-11ef-ad80-4f50f5b48258,554BZ5D4,*,Salida
0,ba0f10a0-ec6b-11ef-ad80-4f50f5b48258,C58D3113,*,Salida
0,ba0f10a0-ec6b-11ef-ad80-4f50f5b48258,ZC6455A3,*,Salida
0,ba0f10a0-ec6b-11ef-ad80-4f50f5b48258,5187FB5F,*,Salida
13000,ba0f10a0-ec6b-11ef-ad80-4f50f5b48258,Z6739YFC,*,Salida
0,ba0f10a0-ec6b-11ef-ad80-4f50f5b48258,B9Y8Y1D1,*,Salida
0,ba0f10a0-ec6b-11ef-ad80-4f50f5b48258,2AA51FAZ,*,Salida
5000,ba0f10a0-ec6b-11ef-ad80-4f50f5b48258,1259A8AZ,*,Salida
0,ba0f10a0-ec6b-11ef-ad80-4f50f5b48258,Y2F6BAA7,*,Salida
0,ba0f10a0-ec6b-11ef-ad80-4f50f5b48258,CB219853,*,Salida
2000,ba0f10a0-ec6b-11ef-ad80-4f50f5b48258,65A9A7DC,*,Salida
0,ba0f10a0-ec6b-11ef-ad80-4f50f5b48258,14F51CY2,*,Salida
0,ba0f10a0-ec6b-11ef-ad80-4f50f5b48258,2B7B2D3Y,*,Salida
1000,ba0f10a0-ec6b-11ef-ad80-4f50f5b48258,BD77CF3D,*,Salida
0,ba0f10a0-ec6b-11ef-ad80-4f50f5b48258,C3934ZYA,*,Salida
2000,ba0f10a0-ec6b-11ef-ad80-4f50f5b48258,6511F57C,*,Salida
0,ba0f10a0-ec6b-11ef-ad80-4f50f5b48258,6AB17132,*,Salida
2000,ba0f10a0-ec6b-11ef-ad80-4f50f5b48258,6FBCF527,*,Salida
0,ba0f10a0-ec6b-11ef-ad80-4f50f5b48258,Z69Y22FC,*,Salida
2000,ba0f10a0-ec6b-11ef-ad80-4f50f5b48258,1568YZDZ,*,Salida
6000,ba0f10a0-ec6b-11ef-ad80-4f50f5b48258,ABA2Z3CZ,*,Salida
0,ba0f10a0-ec6b-11ef-ad80-4f50f5b48258,1514B788,*,Salida
0,ba0f10a0-ec6b-11ef-ad80-4f50f5b48258,527F3AFA,*,Salida
1000,ba0f10a0-ec6b-11ef-ad80-4f50f5b48258,6CBC3Y96,*,Salida
1000,ba0f10a0-ec6b-11ef-ad80-4f50f5b48258,D47A8AF7,*,Salida
0,ba0f10a0-ec6b-11ef-ad80-4f50f5b48258,5BB6Z968,*,Salida
0,ba0f10a0-ec6b-11ef-ad80-4f50f5b48258,CB5DD764,*,Salida
2000,ba0f10a0-ec6b-11ef-ad80-4f50f5b48258,2953BF5F,*,Salida
3000,a323dce0-ec75-11ef-9a6a-eb98dc5ff44e,A9Y41A1B,*,Salida
7151000,4aa1b0c0-ed28-11ef-bf5a-dd9d88d4ae6f,YA81Z451,*,Meta
36812,cba18880-ed37-11ef-a3dc-db71caa7d840,52674F19,*,Salida
4306883,cc322fc0-ed37-11ef-a3dc-db71caa7d840,52674F19,*,15K
1499877,ccb409f0-ed37-11ef-9ac5-999bc91314b6,52674F19,*,5K
5818249,cd254250-ed37-11ef-9ac5-999bc91314b6,52674F19,*,20K
2916418,cd622440-ed37-11ef-aa39-fda1ee62f2d7,52674F19,*,10K
6139015,ce67fb80-ed37-11ef-aa39-fda1ee62f2d7,52674F19,*,Meta
4306883,d3074d30-ed37-11ef-aa39-fda1ee62f2d7,52674F19,*,15K
7274000,543d26e0-ed38-11ef-aa39-fda1ee62f2d7,33A925FZ,*,Meta
4317000,9fa3ddd0-ed39-11ef-9ac5-999bc91314b6,8C6Y8873,*,Meta
5311000,f45dd4c0-ed3e-11ef-b3ea-8d2058c0628f,4DF98587,*,Meta
4183762,24629fa0-edc8-11ef-845f-95071319f6f8,A7221AD8,*,15K
5534968,2b33ec80-edc8-11ef-845f-95071319f6f8,A7221AD8,*,20K
5038000,7e561eb0-edc8-11ef-845f-95071319f6f8,31Y2Z122,*,Meta
105000,d533f950-edc8-11ef-845f-95071319f6f8,ZC3F3D71,*,Salida
3246877,d9297670-edc8-11ef-845f-95071319f6f8,ZC3F3D71,*,10K
6800974,dc8ffa00-edc8-11ef-845f-95071319f6f8,ZC3F3D71,*,20K
5928000,090a7900-edcb-11ef-9a74-e7cec2255f28,43ZZ9YB2,*,Meta
10731991,2559a270-edcb-11ef-9a74-e7cec2255f28,991B7ZB2,*,20K
11287501,28b9e470-edcb-11ef-9a74-e7cec2255f28,991B7ZB2,*,Meta
5145000,b48f9f30-edcb-11ef-9a74-e7cec2255f28,B6ZBZ52Z,*,Meta
6238000,9a94f7a0-edcc-11ef-9a74-e7cec2255f28,Y986915C,*,Meta
6538000,a4abd290-edcc-11ef-9a74-e7cec2255f28,Y986915C,*,Meta
6839000,b32fa490-edcc-11ef-9a74-e7cec2255f28,Y986915C,*,Meta
6969000,bedfe430-edcc-11ef-9a74-e7cec2255f28,Y986915C,*,Meta
5316000,63296d80-edce-11ef-8319-81eef6b3b4f4,ZAD52DF7,*,Meta
7206000,de90a3a0-edd6-11ef-911b-cf03079e7d2b,L1372358,*,Meta
1368000,ff1b2cd0-edd6-11ef-b1a8-0779410a0038,4D831Z6B,*,5K
2503000,11a62f30-edd7-11ef-b1a8-0779410a0038,4D831Z6B,*,10K
3743753,19658590-edd7-11ef-b1a8-0779410a0038,4D831Z6B,*,15K
5859000,2152c9c0-edd7-11ef-b1a8-0779410a0038,4D831Z6B,*,Meta
5306000,2f736d20-edd7-11ef-b1a8-0779410a0038,BZ57A6F8,*,Meta
5028000,fdd41c20-edfd-11ef-bd22-7ddd849d9b9c,1D9B732A,*,Meta
5087000,126834f0-edfe-11ef-bd22-7ddd849d9b9c,1D9B732A,*,Meta
7035453,4454e600-ee00-11ef-bfbe-2f1b96994333,73335BY1,*,Meta
11280000,5a73e490-ee00-11ef-bfbe-2f1b96994333,D71ZYA5B,*,Meta
6291000,143d31e0-ee94-11ef-9ab3-55798f1380ce,7CD8419F,*,Meta
6694000,4a1b5350-ee94-11ef-9ab3-55798f1380ce,28B12198,*,Meta
1581000,5c88e2a0-ee94-11ef-9ab3-55798f1380ce,28B12198,*,5K
2985372,67d99d20-ee94-11ef-9ab3-55798f1380ce,28B12198,*,10K
4533489,6c109010-ee94-11ef-9ab3-55798f1380ce,28B12198,*,15K
6115765,6fb10f60-ee94-11ef-9ab3-55798f1380ce,28B12198,*,20K
4409000,b5e8ad30-ee94-11ef-9ab3-55798f1380ce,D43Y2162,*,Meta
4470000,bf074570-ee94-11ef-9ab3-55798f1380ce,D43Y2162,*,Meta
4460000,c57c8fa0-ee94-11ef-9ab3-55798f1380ce,D43Y2162,*,Meta
2115881,ca6bfd20-ee94-11ef-9ab3-55798f1380ce,D43Y2162,*,10K
3172583,cfa14d40-ee94-11ef-9ab3-55798f1380ce,D43Y2162,*,15K
4247832,d58ea2c0-ee94-11ef-9ab3-55798f1380ce,D43Y2162,*,20K
6626000,025753b0-ee95-11ef-9ab3-55798f1380ce,L8372265,*,Meta
53640,2ca16180-eec0-11ef-acb9-6751e1df5f21,19477A97,*,Salida
3117626,2d7ea220-eec0-11ef-acb9-6751e1df5f21,19477A97,*,10K
4632117,2e4a2f80-eec0-11ef-acb9-6751e1df5f21,19477A97,*,15K
1609398,2e616100-eec0-11ef-ba02-2d3eb2d81d1f,19477A97,*,5K
