split.time,issue_id,athlete_id,event,split_name
3068305,e50c2fc0-12bf-11f0-916d-9587941d0190,45,*,15K
3005730,ea145560-12bf-11f0-916d-9587941d0190,71,*,15K
3053827,f3ff3e50-12bf-11f0-916d-9587941d0190,263,*,15K
3587339,7635bf20-12c0-11f0-916d-9587941d0190,21,*,19K
3587806,7da76ab0-12c0-11f0-916d-9587941d0190,54,*,19K
3322240,9c83ceb0-12c0-11f0-916d-9587941d0190,1058,*,15K
1476759,c4a19530-12c0-11f0-916d-9587941d0190,115b47ca-c523-5fcf-99c9-32659d8d9fe1,*,5K
3660288,ccd976f0-12c0-11f0-916d-9587941d0190,115b47ca-c523-5fcf-99c9-32659d8d9fe1,*,19K
3692907,5d974c30-12c1-11f0-916d-9587941d0190,20,*,19K
3779375,c99245c0-12c1-11f0-916d-9587941d0190,c8b30c05-66f9-568a-9b9d-076ea82da3b9,*,19K
3864340,d0c69a30-12c1-11f0-916d-9587941d0190,41,*,19K
3861035,d5cac830-12c1-11f0-916d-9587941d0190,42,*,19K
3799442,dcb67ae0-12c1-11f0-916d-9587941d0190,89,*,19K
3883643,f54ae640-12c1-11f0-916d-9587941d0190,74,*,19K
3896230,fe7899b0-12c1-11f0-916d-9587941d0190,462,*,19K
3292842,23154fc0-12c2-11f0-916d-9587941d0190,1400,*,15K
4015337,28a56a10-12c2-11f0-916d-9587941d0190,331,*,19K
4000042,48ae1910-12c2-11f0-916d-9587941d0190,551,*,19K
3609462,9e1b5740-12c3-11f0-916d-9587941d0190,21927,*,15K
4388280,ab4c4370-12c3-11f0-916d-9587941d0190,21927,*,19K
4388280,a3876ed0-12c3-11f0-916d-9587941d0190,16747,*,19K
4146635,304edc90-12c4-11f0-b75b-d39f63b64a69,573,*,19K
4107832,5bb8c0d0-12c4-11f0-b75b-d39f63b64a69,406,*,19K
4165920,61accd10-12c4-11f0-b75b-d39f63b64a69,461,*,19K
4147197,68ee19d0-12c4-11f0-b75b-d39f63b64a69,820,*,19K
4131482,70b4c330-12c4-11f0-b75b-d39f63b64a69,24978,*,19K
4156989,7606ea20-12c4-11f0-b75b-d39f63b64a69,1269,*,19K
4113149,7c55e7a0-12c4-11f0-b75b-d39f63b64a69,582,*,19K
4163846,82c8c0d0-12c4-11f0-b75b-d39f63b64a69,5463,*,19K
4068338,8a93fe10-12c4-11f0-b75b-d39f63b64a69,69,*,19K
4125111,8ffc9330-12c4-11f0-b75b-d39f63b64a69,996,*,19K
4198879,98f8af50-12c4-11f0-b75b-d39f63b64a69,414,*,19K
4155464,9eca6680-12c4-11f0-b75b-d39f63b64a69,289,*,19K
4130684,a8cf1900-12c4-11f0-b75b-d39f63b64a69,337,*,19K
4174635,b1894a20-12c4-11f0-b75b-d39f63b64a69,1045,*,19K
4124837,ba5f1990-12c4-11f0-b75b-d39f63b64a69,359,*,19K
4197211,c4783e70-12c4-11f0-b75b-d39f63b64a69,593,*,19K
4028445,cc5e7dc0-12c4-11f0-b75b-d39f63b64a69,352,*,19K
1559110,efffe3e0-12c4-11f0-b75b-d39f63b64a69,21617,*,5K
3262446,f7b61280-12c4-11f0-b75b-d39f63b64a69,21617,*,15K
4015360,fd617d00-12c4-11f0-b75b-d39f63b64a69,21617,*,19K
4279030,0eb3d850-12c5-11f0-b75b-d39f63b64a69,448,*,19K
4254670,159ddd50-12c5-11f0-b75b-d39f63b64a69,346,*,19K
4254801,1bfd7ca0-12c5-11f0-b75b-d39f63b64a69,348,*,19K
0,41f115b0-12fd-11f0-8043-f18558c6c49c,7,*,Salida
0,5d6bff30-12fd-11f0-8043-f18558c6c49c,12,*,Salida
0,619a8db0-12fd-11f0-8043-f18558c6c49c,3,*,Salida
0,6686c6e0-12fd-11f0-8043-f18558c6c49c,9,*,Salida
0,6efa2b00-12fd-11f0-8043-f18558c6c49c,4,*,Salida
0,76076f70-12fd-11f0-8043-f18558c6c49c,8,*,Salida
0,7c1ce660-12fd-11f0-8043-f18558c6c49c,2,*,Salida
0,8c06d810-12fd-11f0-8043-f18558c6c49c,204,*,Salida
0,90e68e20-12fd-11f0-8043-f18558c6c49c,41b1a65e-f0b1-567e-a198-89cde2586fc4,*,Salida
0,87ab4620-12fd-11f0-8043-f18558c6c49c,207,*,Salida
0,6bb99410-12ff-11f0-8043-f18558c6c49c,202,*,Salida
0,728080b0-12ff-11f0-8043-f18558c6c49c,203,*,Salida
6427000,bf77dee0-1462-11f0-ae46-df4e57d219b7,6683,*,Meta
6548000,6a2793c0-14ff-11f0-b023-dd024bd9b871,14425,*,Meta
5989915,234db4d0-16a7-11f0-9edb-7d52d61c7147,14425,*,19K
3300000,818657a0-16a7-11f0-9edb-7d52d61c7147,14425,*,10K
1888000,8d785b30-16a7-11f0-9edb-7d52d61c7147,14425,*,5K
1845000,ee09bb10-16a7-11f0-9edb-7d52d61c7147,14425,*,5K
3283068,15310f60-1502-11f0-99cc-33fc8010f1a8,23100,*,5K
5678589,cef361a0-1502-11f0-99cc-33fc8010f1a8,24697,*,19K
6555640,d6437b70-1502-11f0-99cc-33fc8010f1a8,24697,*,Meta
5170182,2881dd50-1503-11f0-99cc-33fc8010f1a8,5730,*,19K
5925272,39674600-1503-11f0-99cc-33fc8010f1a8,10145,*,19K
6982400,4309db50-1503-11f0-99cc-33fc8010f1a8,10145,*,Meta
4718000,50321a50-1516-11f0-b2e0-556c5f0a9f59,1278,*,Meta
6590000,cf180fb0-160a-11f0-ab6c-01269315d0a6,12050,*,Meta
6223808,fd39e800-160a-11f0-ab6c-01269315d0a6,9936,*,19K
7224621,07dd2470-160b-11f0-ab6c-01269315d0a6,9936,*,Meta
7224000,2d25d1f0-160b-11f0-ab6c-01269315d0a6,9936,*,Meta
6528376,a1c11260-1613-11f0-b4bb-2d0823e2789c,3e5eed73-5e29-5af4-bcf7-a6b976a441b1,*,15K
6684000,27344890-16cd-11f0-bb6f-fbc4b723e797,3568,*,Meta
6382000,f6404170-1911-11f0-a7dd-212c3c2a8e17,3568,*,Meta
4945000,c85557a0-1911-11f0-a7dd-212c3c2a8e17,3283,*,Meta
