DF,Columna,Missing_promedio
athletes_events_df,athlete_id,0.0
athletes_events_df,auto_category,0.2590705714866789
athletes_events_df,auto_chip,0.2590705714866789
athletes_events_df,category,0.00018303843807199183
athletes_events_df,distance,0.0
athletes_events_df,dorsal,0.0
athletes_events_df,event_id,0.0
athletes_events_df,gunTime,1.016880211512916e-05
athletes_events_df,gunTimeMode,0.0
athletes_events_df,gunTimeModeConfig_wave,1.016880211512916e-05
athletes_events_df,last_split_seen,0.0
athletes_events_df,maxConsecutiveSplitsMissing,0.0
athletes_events_df,race_id,0.0
athletes_events_df,realStatus,0.0
athletes_events_df,splitsMissing,0.0
athletes_events_df,splitsSeen,0.0
athletes_events_df,startNetTime,0.1708562131380923
athletes_events_df,startRawTime,0.1708562131380923
athletes_events_df,startTime,0.1708562131380923
athletes_events_df,status,0.0
athletes_events_df,team,0.06428716697173076
athletes_events_df,event_std,0.0005999593247915103
athletes_events_df,startNetTime_td,0.1708562131380923
athletes_events_df,startTime_td,0.1708562131380923
athletes_time_df,athlete_id,0.0
athletes_time_df,average,0.0
athletes_time_df,distance,0.0
athletes_time_df,event_id,0.0
athletes_time_df,incidence,0.9980286564067654
athletes_time_df,isBackup,0.9982292350457481
athletes_time_df,netTime,0.0
athletes_time_df,offset,0.9982292350457481
athletes_time_df,order,0.0
athletes_time_df,race_id,0.0
athletes_time_df,rawTime,0.0
athletes_time_df,split,0.0
athletes_time_df,time,0.0
athletes_time_df,event_std,0.0006149052215279616
athletes_time_df,netTime_td,0.0
athletes_time_df,time_td,0.0
issues_df,athlete_id,0.0
issues_df,event_id,0.0
issues_df,issue_id,0.0
issues_df,race_id,0.0
issues_df,time,0.0
issues_df,type,0.0
issues_df,event_std,2.702860041747801e-05
issues_data_df,athlete_id,0.0
issues_data_df,data_Camiseta Finisher,0.9998211954126228
issues_data_df,data_Camiseta entregada,0.9972222915263259
issues_data_df,data_Código Postal,0.999997920876891
issues_data_df,data_Dorsal entregado,0.9744995550676546
issues_data_df,data_EPC,0.9999708922764735
issues_data_df,data_Email,0.999995841753782
issues_data_df,data_Federado,0.9934029423750239
issues_data_df,data_LOCALIZADOR,0.999997920876891
issues_data_df,data_Language,0.9711313756310138
issues_data_df,data_Licencia,0.9346510815598413
issues_data_df,data_Localidad,0.9999896043844548
issues_data_df,data_Medal,0.999997920876891
issues_data_df,data_Message,0.9999646549071464
issues_data_df,data_PAIS,0.9999916835075638
issues_data_df,data_PAÍS,0.9999771296458005
issues_data_df,data_PAíS,0.999995841753782
issues_data_df,data_Pais,0.9999854461382367
issues_data_df,data_País de residencia,0.9999916835075638
issues_data_df,data_Pers Contacto,0.999997920876891
issues_data_df,data_Pic,0.9999688131533644
issues_data_df,data_Provincia,0.9999896043844548
issues_data_df,data_TALLA,0.999995841753782
issues_data_df,data_TIEMPO ESTIMADO,0.9988793526442288
issues_data_df,data_Talla,0.999997920876891
issues_data_df,data_Telf Emergencia,0.9999916835075638
issues_data_df,data_Teléfono emergencia,0.999995841753782
issues_data_df,data_UNIVERSIDAD,0.9998419866437132
issues_data_df,data_ZURICH,0.9985508511930008
issues_data_df,data_birthdate,0.9704785309747761
issues_data_df,data_category,0.9997858503197692
issues_data_df,data_club,0.9875127866071206
issues_data_df,data_comments,0.9181470023203013
issues_data_df,data_document,0.8936736442038206
issues_data_df,data_dorsal,0.9996590238101178
issues_data_df,data_e-mail,0.9021689412273479
issues_data_df,data_event,0.9999521801684922
issues_data_df,data_gender,0.9997421887344794
issues_data_df,data_gunTime,0.921893582162787
issues_data_df,data_medical reason,0.9999854461382367
issues_data_df,data_name,0.974073334830302
issues_data_df,data_nationality,0.8712128772568881
issues_data_df,data_phone,0.9999875252613458
issues_data_df,data_status,0.9945277479770133
issues_data_df,data_statusNote,0.99734288066665
issues_data_df,data_surname,0.9740504644761026
issues_data_df,data_team,0.9876811955789526
issues_data_df,data_user_id,0.999997920876891
issues_data_df,event_id,0.0
issues_data_df,issue_id,0.0
issues_data_df,race_id,0.0
issues_data_df,event_std,2.702860041747801e-05
issues_events_df,athlete_id,0.0
issues_events_df,data_events_attributes_Andaluz,0.8821566606075398
issues_events_df,data_events_attributes_Atletas con Discapacidad,0.7246727889347473
issues_events_df,data_events_attributes_Campionat Catalunya General,0.7641603252257602
issues_events_df,data_events_attributes_Campionat Catalunya Master,0.7641603252257602
issues_events_df,data_events_attributes_Clasif. Andaluzes,0.8425161283272075
issues_events_df,data_events_attributes_Clasif. Españoles,0.8425161283272075
issues_events_df,data_events_attributes_Clasif. Sevillanos,0.8425161283272075
issues_events_df,data_events_attributes_Cto España,0.8821566606075398
issues_events_df,data_events_attributes_Discapacitado,0.8821566606075398
issues_events_df,data_events_attributes_Discapacitado intelectual,0.5113417383987149
issues_events_df,data_events_attributes_Discapacitado visual,0.27550206362447494
issues_events_df,data_events_attributes_Elite,0.7641603252257602
issues_events_df,data_events_attributes_Españoles,0.8821566606075398
issues_events_df,data_events_attributes_Sevillano,0.8821566606075398
issues_events_df,data_events_attributes_Sillas,0.5113417383987149
issues_events_df,data_events_auto_category,0.15765872423201477
issues_events_df,data_events_auto_chip,0.0001748525592222272
issues_events_df,data_events_category,0.15765872423201477
issues_events_df,data_events_dorsal,0.0001748525592222272
issues_events_df,data_events_gunTime,0.0001784953208726625
issues_events_df,data_events_gunTimeModeConfig_wave,0.1180181919516824
issues_events_df,data_events_status,0.0
issues_events_df,data_events_team,0.7246727889347473
issues_events_df,data_events_times_10K v4Con_time,0.8821566606075398
issues_events_df,data_events_times_10K_time,0.0
issues_events_df,data_events_times_15K_time,0.0
issues_events_df,data_events_times_20K_time,0.0
issues_events_df,data_events_times_25K_time,0.4886582616012851
issues_events_df,data_events_times_30K_time,0.4886582616012851
issues_events_df,data_events_times_35K_time,0.4886582616012851
issues_events_df,data_events_times_40K_time,0.4886582616012851
issues_events_df,data_events_times_5K_time,0.0
issues_events_df,data_events_times_Asics 2_time,0.7246727889347473
issues_events_df,data_events_times_Asics_time,0.8819818080483176
issues_events_df,data_events_times_Media_time,0.4886582616012851
issues_events_df,data_events_times_Meta_time,0.0
issues_events_df,data_events_times_PREMETA_time,0.7641603252257602
issues_events_df,data_events_times_Salida_time,0.0
issues_events_df,data_events_times_Spotter_time,0.7246727889347473
issues_events_df,event_id,0.0
issues_events_df,issue_id,0.0
issues_events_df,race_id,0.0
issues_events_df,event_std,4.735590145599211e-05
issues_times_df,athlete_id,0.0
issues_times_df,event_id,0.0
issues_times_df,issue_id,0.0
issues_times_df,race_id,0.0
issues_times_df,split,0.0
issues_times_df,time,0.0
issues_times_df,event_std,0.0
issues_times_df,time_td,0.0
