athlete_id,event_id,race_id,netTime
1,Medio Maratón,01675eec-4b8b-4b92-80b7-5e22a1878f38,3849553.0
2,Medio Maratón,01675eec-4b8b-4b92-80b7-5e22a1878f38,3774464.0
3,Medio Maratón,01675eec-4b8b-4b92-80b7-5e22a1878f38,3664133.0
4,Medio Maratón,01675eec-4b8b-4b92-80b7-5e22a1878f38,3679134.0
5,Medio Maratón,01675eec-4b8b-4b92-80b7-5e22a1878f38,3791747.0
6,Medio Maratón,01675eec-4b8b-4b92-80b7-5e22a1878f38,3787217.0
7,Medio Maratón,01675eec-4b8b-4b92-80b7-5e22a1878f38,3645227.0
8,Medio Maratón,01675eec-4b8b-4b92-80b7-5e22a1878f38,3683174.0
9,Medio Maratón,01675eec-4b8b-4b92-80b7-5e22a1878f38,3667505.0
10,Medio Maratón,01675eec-4b8b-4b92-80b7-5e22a1878f38,4067095.0
11,Medio Maratón,01675eec-4b8b-4b92-80b7-5e22a1878f38,3838261.0
12,Medio Maratón,01675eec-4b8b-4b92-80b7-5e22a1878f38,3648456.0
13,Medio Maratón,01675eec-4b8b-4b92-80b7-5e22a1878f38,4137685.0
21,Medio Maratón,01675eec-4b8b-4b92-80b7-5e22a1878f38,4092284.0
38,Medio Maratón,01675eec-4b8b-4b92-80b7-5e22a1878f38,4124540.0
54,Medio Maratón,01675eec-4b8b-4b92-80b7-5e22a1878f38,4098132.0
92,Medio Maratón,01675eec-4b8b-4b92-80b7-5e22a1878f38,4138486.0
207,Medio Maratón,01675eec-4b8b-4b92-80b7-5e22a1878f38,4149167.0
246,Medio Maratón,01675eec-4b8b-4b92-80b7-5e22a1878f38,3369540.0
247,Medio Maratón,01675eec-4b8b-4b92-80b7-5e22a1878f38,3368984.0
400,Medio Maratón,01675eec-4b8b-4b92-80b7-5e22a1878f38,9824382.0
731,Medio Maratón,01675eec-4b8b-4b92-80b7-5e22a1878f38,9756341.0
802,Medio Maratón,01675eec-4b8b-4b92-80b7-5e22a1878f38,3372713.0
814,Medio Maratón,01675eec-4b8b-4b92-80b7-5e22a1878f38,9927103.0
1926,Medio Maratón,01675eec-4b8b-4b92-80b7-5e22a1878f38,9756085.0
2179,Medio Maratón,01675eec-4b8b-4b92-80b7-5e22a1878f38,9794775.0
2899,Medio Maratón,01675eec-4b8b-4b92-80b7-5e22a1878f38,10925599.0
3843,Medio Maratón,01675eec-4b8b-4b92-80b7-5e22a1878f38,10032830.0
