
=== Evento(s): Marato ===
                                  athlete_id  split  netTime_sec       anomaly_type
307213                              9C3A86D7    10K     4759.097  Outlier de tiempo
307214                              9C3A86D7    15K     7521.707  Outlier de tiempo
307215                              9C3A86D7    20K     9953.045  Outlier de tiempo
307216                              9C3A86D7  Media    10488.499  Outlier de tiempo
307217                              9C3A86D7    25K    12594.936  Outlier de tiempo
307218                              9C3A86D7    30K    15197.960  Outlier de tiempo
307219                              9C3A86D7    35K    17923.516  Outlier de tiempo
307220                              9C3A86D7    40K    20334.284  Outlier de tiempo
307221                              9C3A86D7   Meta    21348.422  Outlier de tiempo
307345                              823382B6     5K     3874.872  Outlier de tiempo
307346                              823382B6    10K     5669.051  Outlier de tiempo
307347                              823382B6    15K     7467.343  Outlier de tiempo
307821                              C4YB14FB     5K     2339.278  Outlier de tiempo
307822                              C4YB14FB    10K     4779.768  Outlier de tiempo
307823                              C4YB14FB    15K     7324.724  Outlier de tiempo
307824                              C4YB14FB    20K     9858.057  Outlier de tiempo
307825                              C4YB14FB  Media    10472.434  Outlier de tiempo
307826                              C4YB14FB    25K    12755.242  Outlier de tiempo
308158                              AZ4CZ2DF     5K     2389.019  Outlier de tiempo
308159                              AZ4CZ2DF    10K     4896.769  Outlier de tiempo
308893                              AA8BYZ26    15K     7062.283  Outlier de tiempo
310357                              CD5589B3    20K     9376.609  Outlier de tiempo
310358                              CD5589B3  Media     9935.158  Outlier de tiempo
310359                              CD5589B3    25K    11978.832  Outlier de tiempo
310360                              CD5589B3    30K    14588.922  Outlier de tiempo
310457                              527A7C6A  Media     9923.743  Outlier de tiempo
310458                              527A7C6A    25K    12205.639  Outlier de tiempo
310459                              527A7C6A    30K    14918.859  Outlier de tiempo
310460                              527A7C6A    35K    17591.973  Outlier de tiempo
310461                              527A7C6A    40K    20490.596  Outlier de tiempo
310462                              527A7C6A   Meta    21657.223  Outlier de tiempo
312719                              1D52B7BC    30K    14498.587  Outlier de tiempo
313283                              A6C29ZAB    10K     4875.410  Outlier de tiempo
313284                              A6C29ZAB    15K     7288.322  Outlier de tiempo
313285                              A6C29ZAB    20K     9711.158  Outlier de tiempo
313286                              A6C29ZAB  Media    10263.329  Outlier de tiempo
313287                              A6C29ZAB    25K    12038.498  Outlier de tiempo
313619                              BYY3Z8AC    10K     4862.829  Outlier de tiempo
313620                              BYY3Z8AC    15K     7351.327  Outlier de tiempo
313621                              BYY3Z8AC    20K     9615.626  Outlier de tiempo
313622                              BYY3Z8AC  Media    10038.328  Outlier de tiempo
313623                              BYY3Z8AC    25K    12535.641  Outlier de tiempo
