
=== Evento(s): Stage 6 & Stage 3 & Stage 4 & Stage 2 & Stage 5 & Stage 1 ===
                                  athlete_id    split  netTime_sec         anomaly_type
162745  7b167227-8f2b-5f8c-8d1b-6202a946d7bf      EH1     7951.483    Outlier de tiempo
162746  7b167227-8f2b-5f8c-8d1b-6202a946d7bf      CP2    11535.442    Outlier de tiempo
162766  7b167227-8f2b-5f8c-8d1b-6202a946d7bf      CP1     5872.622    Outlier de tiempo
162770  7b167227-8f2b-5f8c-8d1b-6202a946d7bf     Meta    50665.971    Outlier de tiempo
162897  4d325944-3693-5adf-a199-43b47210f9db      EH2     6282.706  Velocidad imposible
162898  4d325944-3693-5adf-a199-43b47210f9db      CP4    11389.820  Velocidad imposible
162899  4d325944-3693-5adf-a199-43b47210f9db  Last km    11517.844  Velocidad imposible
162900  4d325944-3693-5adf-a199-43b47210f9db     Meta    11615.986  Velocidad imposible
162904  4d325944-3693-5adf-a199-43b47210f9db     Meta     7941.446  Velocidad imposible
162906  4d325944-3693-5adf-a199-43b47210f9db      CP1     1610.238  Velocidad imposible
162907  4d325944-3693-5adf-a199-43b47210f9db      EH1     2867.234  Velocidad imposible
162908  4d325944-3693-5adf-a199-43b47210f9db      CP2     4368.197  Velocidad imposible
162909  4d325944-3693-5adf-a199-43b47210f9db      EH2     6309.976  Velocidad imposible
162910  4d325944-3693-5adf-a199-43b47210f9db      CP3     7237.119  Velocidad imposible
162911  4d325944-3693-5adf-a199-43b47210f9db      EH3     9283.719  Velocidad imposible
162913  4d325944-3693-5adf-a199-43b47210f9db   Lastkm    12370.749  Velocidad imposible
162914  4d325944-3693-5adf-a199-43b47210f9db     Meta    12519.173  Velocidad imposible
162916  4d325944-3693-5adf-a199-43b47210f9db      CP1     2871.865  Velocidad imposible
162917  4d325944-3693-5adf-a199-43b47210f9db      CP2     4825.427  Velocidad imposible
162918  4d325944-3693-5adf-a199-43b47210f9db      CP3     5981.119  Velocidad imposible
162919  4d325944-3693-5adf-a199-43b47210f9db      EH2     7758.913  Velocidad imposible
162920  4d325944-3693-5adf-a199-43b47210f9db      CP4    11018.692  Velocidad imposible
162921  4d325944-3693-5adf-a199-43b47210f9db      EH3    11831.232  Velocidad imposible
162922  4d325944-3693-5adf-a199-43b47210f9db   Lastkm    13915.021  Velocidad imposible
162923  4d325944-3693-5adf-a199-43b47210f9db     Meta    14026.555  Velocidad imposible
162925  4d325944-3693-5adf-a199-43b47210f9db      CP1     2045.577  Velocidad imposible
162926  4d325944-3693-5adf-a199-43b47210f9db      EH1     2843.393  Velocidad imposible
162927  4d325944-3693-5adf-a199-43b47210f9db      CP2     3496.205  Velocidad imposible
162928  4d325944-3693-5adf-a199-43b47210f9db      EH2     6601.029  Velocidad imposible
162929  4d325944-3693-5adf-a199-43b47210f9db      EH3     9323.467  Velocidad imposible
162930  4d325944-3693-5adf-a199-43b47210f9db      CP4    11096.545  Velocidad imposible
162931  4d325944-3693-5adf-a199-43b47210f9db   Lastkm    11625.167  Velocidad imposible
162932  4d325944-3693-5adf-a199-43b47210f9db     Meta    11740.502  Velocidad imposible
162934  4d325944-3693-5adf-a199-43b47210f9db      CP1     1374.100  Velocidad imposible
162935  4d325944-3693-5adf-a199-43b47210f9db      EH1     2039.110  Velocidad imposible
162936  4d325944-3693-5adf-a199-43b47210f9db      CP2     3676.213  Velocidad imposible
162937  4d325944-3693-5adf-a199-43b47210f9db      CP3     4172.009  Velocidad imposible
162938  4d325944-3693-5adf-a199-43b47210f9db      EH2     6301.423  Velocidad imposible
162939  4d325944-3693-5adf-a199-43b47210f9db      CP4     6858.386  Velocidad imposible
162940  4d325944-3693-5adf-a199-43b47210f9db   Lastkm     7854.366  Velocidad imposible
162941  4d325944-3693-5adf-a199-43b47210f9db     Meta     7933.339  Velocidad imposible
