
=== Carrera b228b93e-2a15-4123-baf9-ca0915165c6a, Evento Mitja, Split 10K ===
       athlete_id                                         club  edad  time_split_sec
110176   1146CDFB                             SANUS VITAE TEAM  29.0        3167.716
139644   11ZADCD5                       Club Esportiu Katrines  58.0        2377.756
41119    1228964D                                Independiente  26.0        2979.755
925      12ZDA656                                Independiente  41.0        2562.010
46998    13FB5116                        Oslo politis forening  32.0         994.687
139074   1441981A                                               39.0        2739.206
76900    14DABCF9                                Independiente  31.0        2275.076
93522    14F2892C                                Independiente  46.0        2968.173
137902   14F51CY2                                          NNR  31.0         871.678
51188    15479D1F                                Independiente  35.0        2511.416
104858   1568YZDZ                                         Puma  34.0         994.189
150836   156Z38C2                                Independiente  34.0        2580.519
45605    15DD88Z7                                               44.0         899.865
41332    16AC33F8                       Thames Valley Harriers  31.0         928.632
38936    173F4FDC                              CLUB CORREDORES  28.0        3263.008
56973    182F9967                                Independiente  26.0        3985.041
131086   182Z5845                                Independiente  35.0         912.923
150496   18C7DCY1                                Independiente  48.0        2349.057
123227   18DAZB49                                  Nydalens SK  27.0         989.379
50699    18YY36BY                    QUESO LINARI RUNNING CLUB  31.0        2644.117
20            191                                               34.0         884.974
21            191                                          GAC  60.0         884.974
32            192                                               32.0         923.838
33            192                                  Viajes VAYU  45.0         923.838
44            195                                               35.0         948.825
45            195                                     MAXIROGA  53.0         948.825
101914   1953C6CZ                                Independiente  34.0        2500.127
25485    1986AB14                                Independiente  32.0         983.227
122812   1A67FYF8                                Independiente  26.0         929.354
130598   1AAY79Y8                                Independiente  40.0        2269.077
4141     1AY26BYD                                Independiente  33.0        2439.085
585      1B1425ZA                         BROOKS TRAIL RUNNERS  25.0         941.936
144847   1B48Y563                      Billingham running club  39.0         933.974
104452   1B75Z1D5                                Independiente  65.0        3192.802
52392    1B98Y891                         BROOKS TRAIL RUNNERS  26.0         898.642
57949    1B9BD32Y                                Independiente  46.0        2476.185
8748     1BD1F94Y                                Independiente  45.0        2983.318
67049    1BZBC9YA                   Stade Bordelais Athlétisme  30.0         918.991
117613   1C172B29                                Independiente  30.0        2293.769
37561    1C3B69AB                           Courir à plusieurs  27.0        2289.431
120468   1C5AYB6A                  Shaftesbury Barnet Harriers  23.0         980.875
134809   1C94CDD1                                Independiente  32.0        2639.836
125841   1D82A214                                SV Eschenlohe  29.0        1000.933
158880   1DA7Y8FC                                Independiente  46.0        2581.481
9828     1DB7D711                                Independiente  26.0        2625.831
45390    1DBZZ5Y4                     STADE RENNAIS Athlétisme  29.0         935.173
107134   1DYC1Z16                        Ackworth Road Runners  59.0        2336.250
78947    1F4F4667                                Independiente  32.0        2280.126
32653    1F665YZF                                Independiente  31.0        2515.595
42523    1F687711                                Independiente  26.0        2280.025
41764    1F717B79                                Independiente  24.0        3803.609
105120   1Y2DB23Z                                Independiente  30.0        2459.253
143086   1Y522124                                Independiente  44.0        2388.569
7235     1Z2C98Z8                                Independiente  32.0        2855.714
156759   22YB8413                          Tigers Running Club  41.0        2675.873
29710    22Z5YC46                                Independiente  63.0        2538.476
88437    235Z233Z                             SV Bergdorf-Höhn  30.0         994.285
85378    239ACY1Y                                Independiente  24.0        2976.215
121621   23A8C714                                               46.0        2808.987
56060    244A9A15                                Independiente  30.0        2383.584
142442   247Z1AFY                              Paterna runners  45.0        4167.249
43739    24CDZD5Y                                Independiente  29.0        4227.746
160508   251AF7D8                                Independiente  29.0        3701.284
140568   251CB8Z6                                Independiente  72.0        2845.399
126962   25Y18714           C.A.Nogalte-Hogar Puerto Lumbreras  33.0         941.380
149286   25Z573C7                                Independiente  27.0        3129.694
102670   263431DD                                     BRKEDOFF  29.0        2799.391
12166    26B86FA8                   Club Omnisport Harfleurais  43.0        1003.718
136621   26Y3B7AC                                Independiente  37.0        3442.287
72476    27125YB4                                Independiente  47.0        2900.865
57168    27YC697C                                Independiente  27.0        2349.829
128672   28B4C7ZZ                                               32.0        2332.442
48868    299B85Z3                                Independiente  24.0        2593.344
2766     2A1888C1                                        Asics  34.0         961.573
148460   2A34BYFY                                               30.0        3788.145
20589    2A89F27Y                                Western Tempo  27.0         969.982
40603    2AA51FAZ                                          NNR  36.0         871.872
160927   2B142925                                Independiente  24.0        2459.805
97871    2B7654A7                   Isle of Wight Road Runners  56.0        2347.325
147640   2B7B2D3Y                                               30.0         871.640
10672    2B7Z443A                       Club Esportiu Katrines  46.0        2472.779
42559    2BA4BDCB                          Biegacze Stu Mostów  44.0        2417.622
74974    2BD347A7                                Independiente  79.0        2282.343
146272   2BYYB58A                     Campbeltown Running Club  41.0        2335.291
45515    2C19AZZ9                                Independiente  26.0        2347.015
67570    2C79ZA97                                Independiente  37.0        2429.418
49171    2CZFYAAA                                Independiente  25.0        2437.563
27454    2D19AY66                                Independiente  42.0        2273.376
141123   2D3B18Z2                                Independiente  37.0        2417.785
54483    2DD5Y3B7                                Independiente  43.0        2321.474
17235    2DZ1ZY46                          TODOVERTICAL C.D.E.  23.0         990.535
543      2F2Y7DC1                         PRORUNNERS BARCELONA  46.0        2508.631
138064   2F45C3DD                                Independiente  31.0        2340.291
113266   2FA28B69                                Independiente  68.0        2365.390
22420    2FF16B98                                  S a corbera  60.0        3312.158
80076    2FY11B9C                                Independiente  52.0        2721.673
109471   2Y1911YZ                                Independiente  49.0        2830.035
86705    2Y71B434                                Independiente  51.0        2522.395
102209   2YD7759F                                Independiente  65.0        2302.449
24928    2YZ67166                                      Team404  30.0        2350.474
34046    2YZC1CB7                              Tiszakécske VSE  23.0         970.995
147776   2Z2YBF95                                      Gravity  22.0        3532.677
12825    2Z31AC6B                                Independiente  46.0        2333.619
94011    2ZD8C429                     Campbeltown Running Club  46.0        2335.814
120570   2ZDAFF55                             dieSchweinehunde  41.0        2406.027
134083   311F54BY                                Independiente  50.0        2275.219
149094   318674Y5                                Independiente  24.0        2498.086
83429    321ZFF42                                 IPSI Runners  54.0        3231.197
135624   328C89A7                                Independiente  63.0        2333.493
102635   339A8FC3                                Independiente  52.0        2309.740
31672    33BBB664                                Independiente  35.0        3991.484
72158    33BC5D83                                Independiente  53.0        2279.286
77314    33DZ2FCA                                Leeds City AC  31.0         929.126
12226    3451A791                            Roots Performance  32.0         966.094
17185    349FAAZF                                               25.0         898.787
74559    34A47783                                Independiente  34.0         922.070
106549   34CC3Z78                                Independiente  51.0        2306.097
53392    353DA6B9                                Independiente  32.0        2375.669
6519     3551B73Y                                Independiente  52.0        2403.663
91079    35AFFC3F                                Independiente  26.0        2372.106
71452    35D1F4C7                      ATLETICO- SAN SEBASTIAN  36.0         940.712
136305   35Y278Y5                                Independiente  35.0        2439.905
88967    3615C653                                     Bobolice  28.0        3279.741
162585   362849B5                                Independiente  32.0        3038.694
22561    367B576A                                Independiente  22.0        2354.023
12849    367CY732                                               24.0        2294.767
38569    367Y4C9A                         PRORUNNERS BARCELONA  49.0        3338.197
133948   36866DD2                                               29.0         954.433
70122    36A125Z9                                Independiente  21.0        2651.597
88605    36A327YB                                Independiente  62.0        2416.610
49548    36DC36F1                                Independiente  37.0        2424.022
130842   36Y547D9                                Independiente  26.0        2791.095
12100    374D43AY                                Independiente  30.0        2316.924
55342    3795C97A                         CLUB OLÍMPIC MANLLEU  44.0        2284.298
158343   37A5A356                                Independiente  43.0        2332.176
141383   37DZB695                         GP PARCO ALPI APUANE  22.0         890.189
90316    384BCD5C                                Independiente  46.0        2319.077
152983   38AFF732                              JOMA TEAM - JAB  25.0         943.322
144147   38CD13FD                                        Asics  31.0         933.871
49939    38F3Y13Y                                Independiente  31.0        2477.020
6248     38Y2AZCC                                    RazzeClub  31.0         965.699
9205     39885Y3Y                                Independiente  41.0        3663.347
13046    39F31A17                                 Ironwill.pro  28.0         899.282
66443    39YC469D                                Independiente  46.0        2681.858
87997    39Z5YBZ5                                Independiente  59.0        2373.207
11950    3BC66BAZ                                Independiente  28.0        3487.327
79416    3BCYYD14                                Independiente  30.0        3272.745
106421   3BY79936                                Independiente  32.0        2423.858
145857   3C4B422A                                Independiente  62.0        2448.488
93743    3D1CB393                                Independiente  30.0        2533.950
159053   3D972FZ1                                    RazzeClub  30.0         966.491
134512   3F459A15                                Independiente  26.0        3433.740
115045   3F8A75ZF                                Independiente  47.0        2308.000
73574    3Y2B6123                                Independiente  24.0        2339.480
58596    3YA3654Z                                Independiente  65.0        2291.587
93073    3YZ8Y442                                Independiente  27.0        2989.966
80861    3ZB4D5YA                                Chelmsford AC  27.0         937.289
156388   4159C48D                                               34.0        2713.749
154981   4191176D                                Independiente  27.0        3264.644
60939    41CFACFZ                            Belgrave Harriers  28.0         924.989
85455    41Y1D298                                Independiente  63.0        2339.595
139230   41Z8FFF3                                Independiente  38.0         422.564
15917    4213ZD2D                                      Cottage  31.0         918.834
142289   42D594Y6                         Club Atlètic Manresa  37.0         984.185
123457   42Y715Z4                                Independiente  46.0        2291.507
51722    42YA38C4                                Independiente  37.0         998.820
113709   42ZFYYY1                                Independiente  54.0        2537.124
157439   43BY64Z9                                Independiente  37.0        2500.967
58287    43BY7Y8C                                Independiente  23.0        2434.796
127390   43D3Y2A1                                Independiente  48.0        2514.138
44305    43FCBD77                                Independiente  52.0        3502.096
107819   441DB89Y                                 NBRO Running  32.0         983.417
137045   452CCA7B                                Independiente  24.0        5344.330
127999   45F2419Z                                  Hässelby sk  29.0         963.382
79632    463F92F9                                               30.0         900.034
71153    4711767A                                               22.0         891.714
58620    4747CD7C                                               65.0        2332.046
84662    474C3AB9                                Independiente  30.0        3590.980
5201     4767FC7Y                                Independiente  61.0        2320.971
81132    476FZ82A                                Independiente  31.0         954.421
48095    47B8Z95A                                   AK KRUPINA  44.0        3317.522
64079    4816B81Z                                Independiente  34.0        1000.611
35931    489C6B92                        Club Atletismo Alhama  32.0         951.274
100566   489DZ4C2                                  Beste Iruña  27.0         980.178
144904   49277CAA                                               57.0        2338.949
56956    498Z7CB2                                Independiente  62.0        3360.966
120719   49B13A6Z                                Independiente  35.0        2612.862
143068   49FFZA44                                Independiente  22.0        3217.208
39894    4A81DYF7                                Independiente  35.0        2371.591
121013   4A9Y96CB                            She Runs Igualada  56.0        2742.018
114859   4A9Z71D1                                               37.0         940.737
135767   4AB366FF                                Independiente  37.0        2346.127
113644   4ABFZ873                                               51.0        2809.110
123949   4BA518F2                                Independiente  42.0        2625.191
146543   4BC91F2B                                    BRKED OFF  24.0        2464.103
161997   4C15DYF5                                Independiente  31.0         977.497
155289   4C4C46A2                                Independiente  41.0        2583.667
6040     4CYA95FF                                Independiente  22.0        2429.108
101157   4CYY12C8                             dieSchweinehunde  45.0        2405.484
52707    4DCAYB27                                Independiente  48.0        3416.051
68681    4F6173ZZ                                Independiente  52.0        2693.851
45641    4F768C54                                Independiente  45.0        2275.606
35322    4F76ZYY1                               Peckham Pacers  39.0         992.215
110254   4F9A55DY                                               28.0         884.978
4749     4FFY8176                     Athletic club Audomarois  23.0         882.493
76414    4Y99AYB7                              La Cerezal Team  64.0        3940.776
63040    4Z7CB8BC                                Independiente  33.0         992.038
104942   4ZY33F62                                Independiente  58.0        2351.102
84504    5152Z674                                Independiente  22.0        2273.400
81421    5187FB5F                                         Puma  30.0         871.738
44009    5188Y1D5                                Independiente  29.0        3342.574
66767    51B2B126                                Independiente  25.0        2307.414
62184    51FZ9DDC                                    LAT Sense  32.0         960.550
137675   51ZAB3DF                                Independiente  52.0        3366.784
129320   5218Z9FZ                                     RHI club  30.0        2456.622
17263    5238C4F7                                Independiente  26.0        2740.217
147331   527F3AFA                                               32.0         871.262
960      52Y97248                         Taillefer Trail Team  28.0         990.291
96727    5366A8D4                                Independiente  48.0        4138.920
73231    53CCC1FB                                Independiente  25.0        2357.203
1086     53DF8B24                               Team FerMedica  28.0         994.057
64063    543DF469                                Independiente  38.0        4384.579
157805   54886FDZ                          Manchester Run Club  36.0        1001.500
77746    54Z52179                                Independiente  30.0        3461.505
97057    54ZDB9F5                                Independiente  27.0        2268.642
18825    54ZZ5Z4D                           Rotherham Harriers  26.0         929.207
134459   5541ZZ6F                            Iron Will Solideo  31.0        1004.285
76963    554BZ5D4                             Cárnicas Serrano  33.0         995.387
145567   55DZZ88B                                Independiente  54.0        2411.209
153949   56816ZDY                                Independiente  50.0        2441.806
