tabla,columna,categoria,tipos_detectados,accion_razon
athletes_df,athlete_id,modificada,"num,str",athlete_id → convertir todos a str
athletes_df,birthdate,tipo otro,"nulo,otro",columna protegida (tipo 'otro')
athletes_df,club,modificada,"nulo,str,vacio",nulo → ''
athletes_df,fullName,no modificada,str,solo un tipo
athletes_df,gender,modificada,"nulo,str",nulo → ''
athletes_df,name,modificada,"num,str",num → str
athletes_df,nationality,modificada,"nulo,str,vacio",nulo → ''
athletes_df,race_id,clave protegida,str,columna protegida (clave)
athletes_df,surname,modificada,"nulo,str",nulo → ''
athletes_events_df,athlete_id,modificada,"num,str",athlete_id → convertir todos a str
athletes_events_df,auto_category,no modificada,num,solo un tipo
athletes_events_df,auto_chip,no modificada,num,solo un tipo
athletes_events_df,category,sin regla aplicable,"str,vacio",no hay regla para esta combinación de tipos
athletes_events_df,distance,no modificada,num,solo un tipo
athletes_events_df,dorsal,modificada,"num,str,vacio",num → str
athletes_events_df,event_id,clave protegida,str,columna protegida (clave)
athletes_events_df,gunTime,tipo otro,otro,columna protegida (tipo 'otro')
athletes_events_df,gunTimeMode,no modificada,str,solo un tipo
athletes_events_df,gunTimeModeConfig_wave,no modificada,str,solo un tipo
athletes_events_df,last_split_seen,no modificada,str,solo un tipo
athletes_events_df,maxConsecutiveSplitsMissing,no modificada,num,solo un tipo
athletes_events_df,race_id,clave protegida,str,columna protegida (clave)
athletes_events_df,realStatus,no modificada,str,solo un tipo
athletes_events_df,splitsMissing,no modificada,num,solo un tipo
athletes_events_df,splitsSeen,no modificada,num,solo un tipo
athletes_events_df,startNetTime,sin regla aplicable,"nulo,num",no hay regla para esta combinación de tipos
athletes_events_df,startRawTime,tipo otro,"nulo,otro",columna protegida (tipo 'otro')
athletes_events_df,startTime,sin regla aplicable,"nulo,num",no hay regla para esta combinación de tipos
athletes_events_df,status,no modificada,str,solo un tipo
athletes_events_df,team,modificada,"nulo,str,vacio",nulo → ''
athletes_events_df,event_std,no modificada,str,solo un tipo
athletes_events_df,startNetTime_td,tipo otro,"nulo,otro",columna protegida (tipo 'otro')
athletes_events_df,startTime_td,tipo otro,"nulo,otro",columna protegida (tipo 'otro')
athletes_time_df,athlete_id,modificada,"num,str",athlete_id → convertir todos a str
athletes_time_df,average,no modificada,num,solo un tipo
athletes_time_df,distance,no modificada,num,solo un tipo
athletes_time_df,event_id,clave protegida,str,columna protegida (clave)
athletes_time_df,incidence,sin regla aplicable,"nulo,num",no hay regla para esta combinación de tipos
athletes_time_df,isBackup,sin regla aplicable,"nulo,num",no hay regla para esta combinación de tipos
athletes_time_df,netTime,no modificada,num,solo un tipo
athletes_time_df,offset,sin regla aplicable,"nulo,num",no hay regla para esta combinación de tipos
