DF,Race_Event,Columna,Tipos_distintos,Nulos,Strings_vacios,Ejemplos,Ejemplos_por_tipo
athletes_df,GLOBAL,athlete_id,"['str', 'int']",0,0,"['200', '201', '202', '203', '204', '205', '206', '207', '208', '209']","{'str': ['200', '201', '202'], 'int': [1, 2, 3]}"
athletes_df,GLOBAL,birthdate,['Timestamp'],136,0,"[Timestamp('1991-03-03 00:00:00'), Timestamp('1996-01-23 00:00:00'), Timestamp('1997-04-21 00:00:00'), Timestamp('1991-11-30 00:00:00'), Timestamp('1993-11-16 00:00:00'), Timestamp('1993-02-06 00:00:00'), Timestamp('1994-11-17 00:00:00'), Timestamp('2000-02-15 00:00:00'), Timestamp('2002-08-20 00:00:00'), Timestamp('1983-11-17 00:00:00')]","{'Timestamp': [Timestamp('1991-03-03 00:00:00'), Timestamp('1996-01-23 00:00:00'), Timestamp('1997-04-21 00:00:00')]}"
athletes_df,GLOBAL,category,['str'],98334,5,"['M50', 'M35', 'M45', 'W50', 'M60', 'M40', 'W55', 'SENM', 'M55', 'W45']","{'str': ['M50', 'M35', 'M45']}"
athletes_df,GLOBAL,club,"['str', 'int']",65244,106,"['MARRUECOS', 'NINGUNO', 'SICILIA RUNNING TEAM', 'CLERMONT ATHLE', 'CLUBE DESPORTIVO AREIAS SÃO JOÃO', 'SPARTA', 'GOWANUS DREDGERS ATHLETIC CLUB', 'ASICS RUNNING', 'ASICS', 'TROTASIERRA']","{'str': ['MARRUECOS', 'NINGUNO', 'SICILIA RUNNING TEAM'], 'int': [34648824665]}"
athletes_df,GLOBAL,distance,['float'],98304,0,"[0.0, 42195.0, 21097.0, 10000.0, 18200.0, 25000.0, 35000.0, 28000.0, 30000.0, 40000.0]","{'float': [0.0, 42195.0, 21097.0]}"
athletes_df,GLOBAL,dorsal,"['str', 'int']",98304,0,"['6409', '2143', '1610', '2145', '2146', '2147', '2148', '2149', '2150', '2151']","{'str': ['6409', '2143', '1610'], 'int': [1, 2, 3]}"
athletes_df,GLOBAL,fullName,['str'],20989,0,"['EL MAHJOUB DAZZA', 'LUIS MASABANDA', 'RICCARDO MUGNOSSO', 'BRICE MORISSEAU', 'JOÃO FERNANDES', 'HENRIK HOLM', 'RYAN ARCHER', 'DIEGO MENENDEZ RODRIGUEZ NORIEGA', 'MIGUEL BENITEZ BERMEJO', 'RUBEN ALVAREZ MIGUEL']","{'str': ['EL MAHJOUB DAZZA', 'LUIS MASABANDA', 'RICCARDO MUGNOSSO']}"
athletes_df,GLOBAL,gender,['str'],71,0,"['male', 'female', 'mixed']","{'str': ['male', 'female', 'mixed']}"
athletes_df,GLOBAL,last_split_seen,['str'],98304,0,"['notstarted', 'Meta', 'Media', '10K', '18.2K', 'Meta 10k', 'Salida', '25K', '35K', '28K']","{'str': ['notstarted', 'Meta', 'Media']}"
athletes_df,GLOBAL,maxConsecutiveSplitsMissing,['float'],98304,0,"[0.0, 12.0, 1.0, 8.0, 3.0, 7.0, 2.0, 4.0, 9.0, 10.0]","{'float': [0.0, 12.0, 1.0]}"
