campo,tipo,ejemplo,cardinalidad,% missing,carreras,num_carreras
athlete_id,int,8250,88821,0.0,"['af5c5746-04e8-42ab-9610-b12f0d9125b1', '609139b1-d6bd-4553-ac89-2f648787a60d', '72a81045-fb27-43e6-a201-b1d42be42fac', 'c9ddd2cc-1f02-4469-82cb-a0627e1b82fc', 'd221bcb0-4242-4ad9-aa5d-706446341917', '49603c2f-1b2b-457f-b82e-fed8bded1d3d']",Todas
data_Camiseta Finisher,str,XL-Hombre,10,99.98211998735924,['af5c5746-04e8-42ab-9610-b12f0d9125b1'],1
data_Camiseta entregada,str,Sí,1,99.72223608269714,['af5c5746-04e8-42ab-9610-b12f0d9125b1'],1
data_Código Postal,str,46015,1,99.99979209287628,['609139b1-d6bd-4553-ac89-2f648787a60d'],1
data_Dorsal entregado,str,Sí,1,97.45001912745538,['af5c5746-04e8-42ab-9610-b12f0d9125b1'],1
data_EPC,str,00693D5100000000,13,99.99708930026779,['d221bcb0-4242-4ad9-aa5d-706446341917'],1
data_Email,str,rachid1casa2014@gmail.com,2,99.99958418575254,['72a81045-fb27-43e6-a201-b1d42be42fac'],1
data_Federado,str,S’,2,99.3403106964057,['d221bcb0-4242-4ad9-aa5d-706446341917'],1
data_LOCALIZADOR,str,123457,1,99.99979209287628,['d221bcb0-4242-4ad9-aa5d-706446341917'],1
data_Language,str,es,4,97.11320958701329,"['af5c5746-04e8-42ab-9610-b12f0d9125b1', '609139b1-d6bd-4553-ac89-2f648787a60d']",2
data_Licencia,str,,1243,93.46527119405219,['49603c2f-1b2b-457f-b82e-fed8bded1d3d'],1
data_Localidad,str,Malaga,4,99.99896046438135,['609139b1-d6bd-4553-ac89-2f648787a60d'],1
data_Medal,str,Yes,1,99.99979209287628,['d221bcb0-4242-4ad9-aa5d-706446341917'],1
data_Message,str,,9,99.9964655788966,['d221bcb0-4242-4ad9-aa5d-706446341917'],1
data_PAIS,str,,1,99.99916837150508,['d221bcb0-4242-4ad9-aa5d-706446341917'],1
data_PAÍS,str,España,6,99.99771302163897,['d221bcb0-4242-4ad9-aa5d-706446341917'],1
data_PAíS,str,,1,99.99958418575254,['d221bcb0-4242-4ad9-aa5d-706446341917'],1
data_Pais,str,PERÚ,4,99.9985446501339,"['609139b1-d6bd-4553-ac89-2f648787a60d', '72a81045-fb27-43e6-a201-b1d42be42fac']",2
data_País de residencia,str,Marruecos,4,99.99916837150508,"['609139b1-d6bd-4553-ac89-2f648787a60d', '72a81045-fb27-43e6-a201-b1d42be42fac']",2
data_Pers Contacto,str,Vanesa,1,99.99979209287628,['72a81045-fb27-43e6-a201-b1d42be42fac'],1
data_Pic,str,,6,99.99688139314405,['d221bcb0-4242-4ad9-aa5d-706446341917'],1
data_Provincia,str,Barcelona,5,99.99896046438135,"['af5c5746-04e8-42ab-9610-b12f0d9125b1', '609139b1-d6bd-4553-ac89-2f648787a60d']",2
data_TALLA,str,M,2,99.99958418575254,['609139b1-d6bd-4553-ac89-2f648787a60d'],1
data_TIEMPO ESTIMADO,str,Entre 1h45 y 1h50,12,99.8879380603097,['49603c2f-1b2b-457f-b82e-fed8bded1d3d'],1
data_Talla,str,Hombre - S,1,99.99979209287628,['af5c5746-04e8-42ab-9610-b12f0d9125b1'],1
data_Telf Emergencia,str,+3463847975,4,99.99916837150508,"['af5c5746-04e8-42ab-9610-b12f0d9125b1', '72a81045-fb27-43e6-a201-b1d42be42fac']",2
data_Teléfono emergencia,str,630466419,2,99.99958418575254,['609139b1-d6bd-4553-ac89-2f648787a60d'],1
data_UNIVERSIDAD,str,UOC,7,99.98419905859654,['d221bcb0-4242-4ad9-aa5d-706446341917'],1
data_ZURICH,str,ZURICH_pago,4,99.85508873476041,['d221bcb0-4242-4ad9-aa5d-706446341917'],1
data_birthdate,str,1988-02-07,8947,97.0475109359147,"['af5c5746-04e8-42ab-9610-b12f0d9125b1', '609139b1-d6bd-4553-ac89-2f648787a60d', '72a81045-fb27-43e6-a201-b1d42be42fac', 'c9ddd2cc-1f02-4469-82cb-a0627e1b82fc', 'd221bcb0-4242-4ad9-aa5d-706446341917', '49603c2f-1b2b-457f-b82e-fed8bded1d3d']",Todas
data_category,str,M45,16,99.97858556625584,"['72a81045-fb27-43e6-a201-b1d42be42fac', 'c9ddd2cc-1f02-4469-82cb-a0627e1b82fc']",2
data_club,str,ASD PODISTICA BARCELLONA,3347,98.75130981487949,"['af5c5746-04e8-42ab-9610-b12f0d9125b1', '609139b1-d6bd-4553-ac89-2f648787a60d', '72a81045-fb27-43e6-a201-b1d42be42fac', 'd221bcb0-4242-4ad9-aa5d-706446341917', '49603c2f-1b2b-457f-b82e-fed8bded1d3d']",5
data_comments,str,Compromiso Yomury,6,91.81490444588593,"['609139b1-d6bd-4553-ac89-2f648787a60d', '72a81045-fb27-43e6-a201-b1d42be42fac', 'c9ddd2cc-1f02-4469-82cb-a0627e1b82fc', 'd221bcb0-4242-4ad9-aa5d-706446341917']",4
data_document,str,33987532H,48786,89.36762969246378,"['af5c5746-04e8-42ab-9610-b12f0d9125b1', '609139b1-d6bd-4553-ac89-2f648787a60d', '72a81045-fb27-43e6-a201-b1d42be42fac', 'd221bcb0-4242-4ad9-aa5d-706446341917', '49603c2f-1b2b-457f-b82e-fed8bded1d3d']",5
data_dorsal,str,1919,158,99.96590323170832,"['72a81045-fb27-43e6-a201-b1d42be42fac', 'c9ddd2cc-1f02-4469-82cb-a0627e1b82fc']",2
data_e-mail,str,pulido_corte@hotmail.com,31850,90.21713820002329,"['af5c5746-04e8-42ab-9610-b12f0d9125b1', '609139b1-d6bd-4553-ac89-2f648787a60d', 'd221bcb0-4242-4ad9-aa5d-706446341917']",3
data_event,str,Marató,2,99.99521813615422,['c9ddd2cc-1f02-4469-82cb-a0627e1b82fc'],1
data_gender,str,female,2,99.97421951665751,"['af5c5746-04e8-42ab-9610-b12f0d9125b1', '609139b1-d6bd-4553-ac89-2f648787a60d', '72a81045-fb27-43e6-a201-b1d42be42fac', 'c9ddd2cc-1f02-4469-82cb-a0627e1b82fc', 'd221bcb0-4242-4ad9-aa5d-706446341917', '49603c2f-1b2b-457f-b82e-fed8bded1d3d']",Todas
data_gunTime,str,2023-02-19T07:30:05.988Z,16,92.18955308284683,"['72a81045-fb27-43e6-a201-b1d42be42fac', 'c9ddd2cc-1f02-4469-82cb-a0627e1b82fc']",2
data_medical reason,str,Broken head,7,99.9985446501339,['d221bcb0-4242-4ad9-aa5d-706446341917'],1
data_name,str,CELESTE AGATE,3724,97.4073981670908,"['af5c5746-04e8-42ab-9610-b12f0d9125b1', '609139b1-d6bd-4553-ac89-2f648787a60d', '72a81045-fb27-43e6-a201-b1d42be42fac', 'c9ddd2cc-1f02-4469-82cb-a0627e1b82fc', 'd221bcb0-4242-4ad9-aa5d-706446341917', '49603c2f-1b2b-457f-b82e-fed8bded1d3d']",Todas
data_nationality,str,MAR,196,87.12160903481197,"['af5c5746-04e8-42ab-9610-b12f0d9125b1', '609139b1-d6bd-4553-ac89-2f648787a60d', '72a81045-fb27-43e6-a201-b1d42be42fac', 'c9ddd2cc-1f02-4469-82cb-a0627e1b82fc', 'd221bcb0-4242-4ad9-aa5d-706446341917', '49603c2f-1b2b-457f-b82e-fed8bded1d3d']",Todas
data_phone,str,689723994,6,99.99875255725762,"['af5c5746-04e8-42ab-9610-b12f0d9125b1', '609139b1-d6bd-4553-ac89-2f648787a60d', '72a81045-fb27-43e6-a201-b1d42be42fac']",3
data_status,str,retired,3,99.45278845034346,"['72a81045-fb27-43e6-a201-b1d42be42fac', 'c9ddd2cc-1f02-4469-82cb-a0627e1b82fc']",2
data_statusNote,str,RT .55.10,13,99.73429469587346,"['af5c5746-04e8-42ab-9610-b12f0d9125b1', '609139b1-d6bd-4553-ac89-2f648787a60d', '72a81045-fb27-43e6-a201-b1d42be42fac', 'c9ddd2cc-1f02-4469-82cb-a0627e1b82fc', 'd221bcb0-4242-4ad9-aa5d-706446341917', '49603c2f-1b2b-457f-b82e-fed8bded1d3d']",Todas
data_surname,str,LOZANO GRIJOTA,10651,97.40511118872978,"['af5c5746-04e8-42ab-9610-b12f0d9125b1', '609139b1-d6bd-4553-ac89-2f648787a60d', '72a81045-fb27-43e6-a201-b1d42be42fac', 'c9ddd2cc-1f02-4469-82cb-a0627e1b82fc', 'd221bcb0-4242-4ad9-aa5d-706446341917', '49603c2f-1b2b-457f-b82e-fed8bded1d3d']",Todas
data_team,str,CLUBE RAQUEL CABAÇO,3664,98.7681502919016,['72a81045-fb27-43e6-a201-b1d42be42fac'],1
data_user_id,str,923224,1,99.99979209287628,['af5c5746-04e8-42ab-9610-b12f0d9125b1'],1
event_id,str,Maratón,7,0.0,"['af5c5746-04e8-42ab-9610-b12f0d9125b1', '609139b1-d6bd-4553-ac89-2f648787a60d', '72a81045-fb27-43e6-a201-b1d42be42fac', 'c9ddd2cc-1f02-4469-82cb-a0627e1b82fc', 'd221bcb0-4242-4ad9-aa5d-706446341917', '49603c2f-1b2b-457f-b82e-fed8bded1d3d']",Todas
issue_id,str,b9679bf0-eeae-11ef-8d6b-2d20f644acaf,17016,0.0,"['af5c5746-04e8-42ab-9610-b12f0d9125b1', '609139b1-d6bd-4553-ac89-2f648787a60d', '72a81045-fb27-43e6-a201-b1d42be42fac', 'c9ddd2cc-1f02-4469-82cb-a0627e1b82fc', 'd221bcb0-4242-4ad9-aa5d-706446341917', '49603c2f-1b2b-457f-b82e-fed8bded1d3d']",Todas
race_id,str,af5c5746-04e8-42ab-9610-b12f0d9125b1,6,0.0,"['af5c5746-04e8-42ab-9610-b12f0d9125b1', '609139b1-d6bd-4553-ac89-2f648787a60d', '72a81045-fb27-43e6-a201-b1d42be42fac', 'c9ddd2cc-1f02-4469-82cb-a0627e1b82fc', 'd221bcb0-4242-4ad9-aa5d-706446341917', '49603c2f-1b2b-457f-b82e-fed8bded1d3d']",Todas
