athlete_id,event_std,splitsMissing,maxConsecutiveSplitsMissing
1,media,0,0
2,media,0,0
3,media,0,0
4,media,0,0
5,media,0,0
6,media,0,0
7,media,0,0
8,media,0,0
9,media,0,0
10,media,0,0
11,media,0,0
12,media,0,0
13,media,0,0
14,media,0,0
19,media,0,0
20,media,0,0
21,media,0,0
22,media,0,0
31,media,0,0
32,media,0,0
33,media,0,0
34,media,0,0
35,media,0,0
36,media,0,0
37,media,0,0
38,media,0,0
39,media,0,0
40,media,0,0
41,media,0,0
42,media,0,0
43,media,0,0
44,media,0,0
45,media,0,0
46,media,0,0
47,media,0,0
48,media,0,0
49,media,0,0
50,media,0,0
51,media,0,0
52,media,0,0
54,media,0,0
55,media,0,0
56,media,0,0
57,media,0,0
58,media,0,0
59,media,0,0
60,media,0,0
61,media,0,0
62,media,1,1
63,media,0,0
64,media,1,1
65,media,0,0
67,media,0,0
68,media,0,0
69,media,0,0
70,media,0,0
71,media,0,0
72,media,0,0
73,media,0,0
74,media,0,0
75,media,0,0
76,media,0,0
77,media,1,1
78,media,0,0
79,media,0,0
80,media,0,0
81,media,0,0
82,media,0,0
83,media,0,0
84,media,0,0
85,media,0,0
86,media,0,0
87,media,0,0
88,media,0,0
89,media,0,0
90,media,0,0
91,media,0,0
92,media,0,0
93,media,0,0
94,media,0,0
190,media,0,0
191,media,0,0
192,media,0,0
193,media,2,2
194,media,0,0
195,media,1,1
196,media,0,0
201,media,0,0
202,media,0,0
203,media,0,0
204,media,0,0
205,media,0,0
206,media,0,0
207,media,0,0
240,media,0,0
241,media,0,0
242,media,0,0
243,media,0,0
244,media,0,0
245,media,0,0
246,media,4,4
247,media,4,4
251,media,0,0
252,media,0,0
253,media,0,0
254,media,0,0
255,media,0,0
256,media,0,0
257,media,0,0
258,media,0,0
259,media,0,0
260,media,0,0
261,media,0,0
262,media,0,0
263,media,0,0
264,media,0,0
265,media,0,0
266,media,0,0
267,media,0,0
268,media,0,0
269,media,0,0
270,media,0,0
271,media,0,0
272,media,0,0
273,media,0,0
274,media,0,0
275,media,0,0
276,media,0,0
277,media,0,0
278,media,0,0
279,media,0,0
280,media,0,0
281,media,0,0
282,media,0,0
283,media,0,0
284,media,0,0
285,media,0,0
286,media,0,0
287,media,0,0
288,media,0,0
289,media,0,0
290,media,0,0
291,media,0,0
292,media,0,0
293,media,1,1
294,media,0,0
295,media,0,0
296,media,0,0
297,media,0,0
298,media,0,0
299,media,0,0
300,media,0,0
301,media,1,1
302,media,0,0
303,media,0,0
304,media,0,0
305,media,0,0
306,media,0,0
307,media,0,0
308,media,0,0
309,media,0,0
310,media,0,0
311,media,0,0
312,media,0,0
313,media,0,0
314,media,0,0
315,media,0,0
317,media,0,0
318,media,1,1
319,media,0,0
320,media,0,0
321,media,0,0
322,media,0,0
323,media,0,0
324,media,0,0
325,media,0,0
326,media,0,0
327,media,0,0
328,media,1,1
329,media,0,0
330,media,0,0
331,media,0,0
332,media,0,0
333,media,0,0
334,media,0,0
335,media,0,0
336,media,0,0
337,media,0,0
