athlete_id,event_std,splitsMissing,maxConsecutiveSplitsMissing
114500001,maraton,0,0
114500002,maraton,0,0
114500003,maraton,0,0
114500004,maraton,6,6
114500005,maraton,0,0
114500006,maraton,0,0
114500007,maraton,0,0
114500008,maraton,0,0
L7526257,maraton,3,2
F8AZZF37,maraton,0,0
B6AA6BZ3,maraton,0,0
DCC51CZB,maraton,0,0
F9876192,maraton,0,0
L3819342,maraton,0,0
6587F5D2,maraton,0,0
CB8F2635,maraton,0,0
1191Y53A,maraton,0,0
4Y78661F,maraton,0,0
ZDF1873A,maraton,0,0
F9CAZ229,maraton,0,0
YYA9Z6Z8,maraton,0,0
29AD1Z4Z,maraton,0,0
1Y657539,maraton,0,0
DA2A2D8D,maraton,0,0
A789Z5BB,maraton,0,0
51Y133BZ,maraton,0,0
2B56F4D9,maraton,0,0
CYYZ6D9A,maraton,1,1
CC32DF6Y,maraton,0,0
14BBBA4C,maraton,0,0
DY225DY9,maraton,0,0
1F26F9ZA,maraton,0,0
7354DD7D,maraton,0,0
5C47AZZ9,maraton,1,1
5DDDC255,maraton,0,0
1C699Y1Y,maraton,0,0
ADC6YDY7,maraton,0,0
CYB88189,maraton,0,0
5C3F882A,maraton,0,0
BY8629D6,maraton,0,0
9A1F15AZ,maraton,0,0
BFC3D266,maraton,0,0
2Y2DC1BY,maraton,0,0
YYA2ZBA3,maraton,0,0
6Y94B921,maraton,0,0
Y7C5C23C,maraton,0,0
C182A9A3,maraton,0,0
4267ZZ14,maraton,0,0
2A6922FD,maraton,0,0
5641768Y,maraton,3,3
74F621DD,maraton,0,0
1A341Y8B,maraton,0,0
82Z58YD4,maraton,0,0
9A24C677,maraton,0,0
928F18A8,maraton,0,0
63ZA56CA,maraton,0,0
7DY69CFA,maraton,0,0
455C2YZ2,maraton,0,0
8YA98A6C,maraton,0,0
1C3C6F94,maraton,0,0
F413251A,maraton,0,0
FZ2CZ93D,maraton,0,0
AC7CY963,maraton,0,0
8268YF96,maraton,0,0
447C21BB,maraton,0,0
F9ZCC19Z,maraton,0,0
6A6FZ293,maraton,0,0
4776846e-cd97-57f4-ba05-c9fd49ea7766,maraton,0,0
Y11CZ3Z4,maraton,1,1
43ZBD9DA,maraton,0,0
ZC8CCD6C,maraton,0,0
Z9AZF84D,maraton,0,0
1FYF4B5B,maraton,0,0
AA881B52,maraton,0,0
BZ13A9Z2,maraton,0,0
D271CB4Y,maraton,0,0
75CYA3AZ,maraton,0,0
8Z6B24B6,maraton,1,1
4CZC42BA,maraton,0,0
3674C514,maraton,0,0
F2C3C993,maraton,0,0
ZZ4Z3FD2,maraton,0,0
Z4C442A9,maraton,1,1
C8C43ZCC,maraton,0,0
875F24DZ,maraton,0,0
94Z5455C,maraton,0,0
2D25D296,maraton,0,0
FCZCFC3C,maraton,0,0
573925B4,maraton,0,0
3Y31YZ77,maraton,0,0
BA515ZY8,maraton,0,0
12YCC722,maraton,0,0
A2BF9AYY,maraton,0,0
5A2AB2C6,maraton,0,0
6Z23ZA53,maraton,0,0
FB8CC999,maraton,0,0
2254C356,maraton,0,0
58Z6AY6B,maraton,0,0
5F5Y49D7,maraton,0,0
A7Y78AAD,maraton,0,0
AF356A94,maraton,0,0
BA32A6FB,maraton,0,0
BDBYB18B,maraton,0,0
11C92C5Z,maraton,0,0
Z8B5F832,maraton,0,0
29918DDY,maraton,0,0
Z6B7YB3B,maraton,0,0
2391ABCY,maraton,0,0
812AC8A1,maraton,0,0
64CYDB19,maraton,0,0
558YDC3C,maraton,0,0
5Z62FC3Z,maraton,0,0
3333736C,maraton,0,0
CD8642CZ,maraton,0,0
7Z9CD89D,maraton,1,1
2D7D341F,maraton,0,0
YC3YD962,maraton,0,0
4DFZY115,maraton,0,0
67D6F9CZ,maraton,0,0
7Y5ZB59D,maraton,0,0
6AB6ZFY4,maraton,0,0
B24YZBF3,maraton,0,0
5Z16C73F,maraton,0,0
D17869DA,maraton,0,0
7A43B3FC,maraton,0,0
AY5434CF,maraton,0,0
7Z62ZA7C,maraton,2,1
2D17ZD25,maraton,0,0
262C6FZ7,maraton,0,0
5AB385Y6,maraton,0,0
BCACYFZ2,maraton,0,0
57C89ZCY,maraton,1,1
4ABA9854,maraton,0,0
CZ47727Z,maraton,0,0
6694678F,maraton,0,0
2894FC37,maraton,0,0
4CY5DF2A,maraton,0,0
ZZ1Y5A84,maraton,0,0
9C3A86D7,maraton,0,0
C9128F39,maraton,3,3
64AY4F19,maraton,0,0
CZD4D85B,maraton,0,0
C4D91279,maraton,0,0
517CZ3CA,maraton,0,0
BFBFAD84,maraton,0,0
23512ADB,maraton,0,0
79F85CY9,maraton,0,0
F42A5YCA,maraton,0,0
YY2ZF11Z,maraton,0,0
CA66FA95,maraton,0,0
71CD1982,maraton,0,0
A77CZF9A,maraton,0,0
823382B6,maraton,1,1
7Z797D8Z,maraton,0,0
16ZACYC6,maraton,0,0
F267A176,maraton,0,0
DFC83DY8,maraton,0,0
273Z3245,maraton,0,0
ZZC66DYY,maraton,0,0
848CZ656,maraton,0,0
Z13B5B4C,maraton,0,0
Y316C465,maraton,0,0
Y49C5215,maraton,0,0
4547C1Z6,maraton,0,0
Y852F1A9,maraton,0,0
F7B42C9B,maraton,0,0
424Z59ZF,maraton,0,0
C877ACZ4,maraton,0,0
A96A28A5,maraton,0,0
D9Y37Y49,maraton,0,0
854ZB751,maraton,0,0
B6D81D24,maraton,0,0
ZYF1467F,maraton,0,0
9498546D,maraton,0,0
883CZCB5,maraton,0,0
B6B53Z89,maraton,0,0
F25ZCB93,maraton,0,0
4C43DC5C,maraton,0,0
74YZ5FA8,maraton,0,0
63ZF6F36,maraton,0,0
C63D6C4C,maraton,0,0
A6AYDZ24,maraton,0,0
8BF35282,maraton,0,0
7C925571,maraton,0,0
A27Y8566,maraton,0,0
FAYFA959,maraton,0,0
732CD52C,maraton,0,0
1Y9432FD,maraton,0,0
38F21ZAB,maraton,2,2
C1YAY77Y,maraton,0,0
3C14888A,maraton,0,0
25A1F288,maraton,0,0
YCZZ44F9,maraton,0,0
4ZZ5Z2FF,maraton,0,0
Z192Y3B2,maraton,0,0
4Y88F96Z,maraton,0,0
F1ZB9DAF,maraton,0,0
B2Y6A5Z5,maraton,0,0
ZD18ZA2Y,maraton,1,1
B8Y575F8,maraton,0,0
A3C63F4D,maraton,0,0
686Y7182,maraton,0,0
45411DDB,maraton,0,0
1F6Z94C2,maraton,0,0
C4YB14FB,maraton,0,0
YA46YZBY,maraton,0,0
B5ZC3526,maraton,0,0
3436YD3Z,maraton,0,0
7574Y3Y1,maraton,0,0
AB9Y36C7,maraton,0,0
A3ZF4FCA,maraton,0,0
7FDFA46D,maraton,0,0
47YFDZYB,maraton,0,0
A42DD4CZ,maraton,0,0
7C6683FC,maraton,0,0
D1A79685,maraton,0,0
ZCB5ZFZC,maraton,0,0
D8B87228,maraton,0,0
9D2BY87D,maraton,0,0
C96F515B,maraton,0,0
Z63FBY86,maraton,0,0
89AYB26Y,maraton,0,0
8CZB5F4C,maraton,0,0
975BDB18,maraton,0,0
66YAC95Y,maraton,0,0
Z8F46C84,maraton,0,0
279CYA95,maraton,0,0
D71F5BD6,maraton,0,0
CD7495CF,maraton,0,0
5A772B44,maraton,0,0
CC9FC6B5,maraton,0,0
BF7AY576,maraton,0,0
3Z58Y988,maraton,0,0
2B98Z8BY,maraton,0,0
ZD443F89,maraton,0,0
44AD83B6,maraton,0,0
64861Z1Z,maraton,0,0
4622F5AD,maraton,0,0
43FY9754,maraton,0,0
A2YA3Y91,maraton,0,0
6636YAZA,maraton,0,0
A4542F4Z,maraton,0,0
87251F45,maraton,0,0
B9C82A7D,maraton,0,0
AZ4CZ2DF,maraton,7,7
YDF82644,maraton,0,0
8AAAY4F5,maraton,0,0
Z27Y42Z1,maraton,0,0
DDBY28Z1,maraton,4,4
FDB619F8,maraton,0,0
13DF5C81,maraton,0,0
Y53F82FA,maraton,0,0
9Z6B9272,maraton,0,0
389C7AAB,maraton,0,0
71D9C1YY,maraton,0,0
863Z67F9,maraton,0,0
AY63428Y,maraton,0,0
7B7A5742,maraton,0,0
YBD17CA7,maraton,0,0
5CDZ6F8B,maraton,0,0
45ADDZ97,maraton,0,0
3CBY31C3,maraton,0,0
FC9B5B1F,maraton,2,1
B5AC5669,maraton,0,0
374B2AZC,maraton,0,0
F65371Y7,maraton,0,0
DA5CY4CC,maraton,0,0
234ZBY9Y,maraton,0,0
4YF3BA47,maraton,0,0
AC1Y7485,maraton,0,0
4C79112D,maraton,1,1
ACDCY54F,maraton,0,0
83A9747Y,maraton,0,0
3F39CZC5,maraton,0,0
5A152BBA,maraton,0,0
AAC89973,maraton,0,0
CA7Z9344,maraton,0,0
95ACA354,maraton,0,0
FY9AADYZ,maraton,0,0
6778B4B9,maraton,1,1
CZ985C6D,maraton,0,0
A8C74628,maraton,0,0
Y3B3Y41D,maraton,0,0
2DB38Y83,maraton,1,1
C51ZZY5Y,maraton,0,0
F7685F8D,maraton,0,0
3986Z487,maraton,0,0
1C2AB3AB,maraton,0,0
CZ33AFD4,maraton,0,0
3Y1FFZ8D,maraton,0,0
AZ1ZZ29Y,maraton,0,0
AZAC92BZ,maraton,0,0
C2775245,maraton,0,0
DDB2C63C,maraton,0,0
A7A586B6,maraton,0,0
A53Y2677,maraton,0,0
BY5F382F,maraton,0,0
27C77543,maraton,0,0
2A6FA755,maraton,0,0
B2C7A57Z,maraton,0,0
9614852F,maraton,0,0
1F71BY82,maraton,0,0
C24A9Z43,maraton,0,0
84YF49C1,maraton,0,0
YD593C4A,maraton,0,0
D63AZB91,maraton,6,6
71DF4B6C,maraton,0,0
915Y55Y9,maraton,0,0
823B3FBZ,maraton,0,0
ZY6FB8CA,maraton,0,0
5B423C57,maraton,0,0
91Z7ZC5F,maraton,0,0
45B9B93F,maraton,0,0
F123C54D,maraton,0,0
5B55DBF1,maraton,0,0
1B15Y9Y3,maraton,0,0
5F46YY7Y,maraton,0,0
17Z9D7Y8,maraton,0,0
YCF8Y72A,maraton,0,0
953A29C6,maraton,0,0
3A6937A3,maraton,0,0
4B1BB72F,maraton,0,0
CBY82967,maraton,0,0
8Z79DD4A,maraton,0,0
7AD2Y8B5,maraton,0,0
62216C78,maraton,0,0
AA8BYZ26,maraton,0,0
5D1895BC,maraton,0,0
CY5252A4,maraton,0,0
39A5215Y,maraton,0,0
2F9Y8D4D,maraton,0,0
77DAYF32,maraton,0,0
Y9DAF9F9,maraton,0,0
BA5C4FY9,maraton,0,0
4BY21FZZ,maraton,0,0
9AFFD221,maraton,0,0
B361YDCD,maraton,0,0
551Z34A4,maraton,4,2
89B355Z8,maraton,0,0
5YBC55YA,maraton,0,0
5YD75829,maraton,0,0
