athlete_id,event_std,splitsMissing,maxConsecutiveSplitsMissing
7b167227-8f2b-5f8c-8d1b-6202a946d7bf,stage,1,1
7b167227-8f2b-5f8c-8d1b-6202a946d7bf,stage,0,0
7b167227-8f2b-5f8c-8d1b-6202a946d7bf,stage,1,1
7b167227-8f2b-5f8c-8d1b-6202a946d7bf,stage,2,1
7b167227-8f2b-5f8c-8d1b-6202a946d7bf,stage,0,0
7b167227-8f2b-5f8c-8d1b-6202a946d7bf,stage,1,1
b7d53cfe-681f-5df2-be6f-84508485715e,stage,1,1
b7d53cfe-681f-5df2-be6f-84508485715e,stage,0,0
b7d53cfe-681f-5df2-be6f-84508485715e,stage,0,0
b7d53cfe-681f-5df2-be6f-84508485715e,stage,1,1
b7d53cfe-681f-5df2-be6f-84508485715e,stage,0,0
b7d53cfe-681f-5df2-be6f-84508485715e,stage,0,0
9ce837a0-fbd1-517e-82b9-c9e63762c2f5,stage,1,1
9ce837a0-fbd1-517e-82b9-c9e63762c2f5,stage,0,0
9ce837a0-fbd1-517e-82b9-c9e63762c2f5,stage,0,0
9ce837a0-fbd1-517e-82b9-c9e63762c2f5,stage,1,1
9ce837a0-fbd1-517e-82b9-c9e63762c2f5,stage,1,1
9ce837a0-fbd1-517e-82b9-c9e63762c2f5,stage,0,0
4d325944-3693-5adf-a199-43b47210f9db,stage,1,1
4d325944-3693-5adf-a199-43b47210f9db,stage,0,0
4d325944-3693-5adf-a199-43b47210f9db,stage,0,0
4d325944-3693-5adf-a199-43b47210f9db,stage,1,1
4d325944-3693-5adf-a199-43b47210f9db,stage,1,1
4d325944-3693-5adf-a199-43b47210f9db,stage,0,0
2dfb8a44-1e83-51ee-8f44-32afd1390aa5,stage,1,1
2dfb8a44-1e83-51ee-8f44-32afd1390aa5,stage,0,0
2dfb8a44-1e83-51ee-8f44-32afd1390aa5,stage,0,0
2dfb8a44-1e83-51ee-8f44-32afd1390aa5,stage,1,1
2dfb8a44-1e83-51ee-8f44-32afd1390aa5,stage,1,1
2dfb8a44-1e83-51ee-8f44-32afd1390aa5,stage,0,0
c0150cab-39fc-575b-8006-e0594ad1d493,stage,1,1
c0150cab-39fc-575b-8006-e0594ad1d493,stage,0,0
c0150cab-39fc-575b-8006-e0594ad1d493,stage,0,0
c0150cab-39fc-575b-8006-e0594ad1d493,stage,1,1
c0150cab-39fc-575b-8006-e0594ad1d493,stage,1,1
c0150cab-39fc-575b-8006-e0594ad1d493,stage,0,0
c3f36a18-96ff-5ac5-bbc9-8dc4033c6758,stage,1,1
c3f36a18-96ff-5ac5-bbc9-8dc4033c6758,stage,0,0
c3f36a18-96ff-5ac5-bbc9-8dc4033c6758,stage,0,0
c3f36a18-96ff-5ac5-bbc9-8dc4033c6758,stage,1,1
c3f36a18-96ff-5ac5-bbc9-8dc4033c6758,stage,0,0
c3f36a18-96ff-5ac5-bbc9-8dc4033c6758,stage,0,0
9be58f71-d43d-590d-ad23-88c06ac9f9ab,stage,1,1
9be58f71-d43d-590d-ad23-88c06ac9f9ab,stage,0,0
9be58f71-d43d-590d-ad23-88c06ac9f9ab,stage,0,0
9be58f71-d43d-590d-ad23-88c06ac9f9ab,stage,1,1
9be58f71-d43d-590d-ad23-88c06ac9f9ab,stage,1,1
9be58f71-d43d-590d-ad23-88c06ac9f9ab,stage,0,0
9bdc6eb2-53dc-5644-9347-f3a6987ecef1,stage,1,1
9bdc6eb2-53dc-5644-9347-f3a6987ecef1,stage,0,0
9bdc6eb2-53dc-5644-9347-f3a6987ecef1,stage,0,0
9bdc6eb2-53dc-5644-9347-f3a6987ecef1,stage,1,1
9bdc6eb2-53dc-5644-9347-f3a6987ecef1,stage,1,1
9bdc6eb2-53dc-5644-9347-f3a6987ecef1,stage,0,0
31e99d27-5421-528d-866e-f02331e23ebf,stage,1,1
31e99d27-5421-528d-866e-f02331e23ebf,stage,0,0
31e99d27-5421-528d-866e-f02331e23ebf,stage,0,0
31e99d27-5421-528d-866e-f02331e23ebf,stage,1,1
31e99d27-5421-528d-866e-f02331e23ebf,stage,0,0
