athlete_id,event_std,splitsMissing,maxConsecutiveSplitsMissing
31,media,0,0
159,media,0,0
160,media,0,0
191,media,0,0
192,media,0,0
193,media,0,0
194,media,0,0
195,media,0,0
L6554352,media,0,0
839A6CZB,media,0,0
Z6BC4Y62,media,0,0
A52Y8731,media,0,0
DB856D12,media,0,0
7YY8D76C,media,0,0
6B3Z3CB5,media,0,0
9532F3YD,media,0,0
C29C3BY4,media,0,0
A44YY7Z9,media,0,0
12819Y8Y,media,0,0
815115B2,media,0,0
Y19Z5DAA,media,0,0
425AD6AZ,media,0,0
Z7FYZ89Y,media,0,0
C56259CA,media,0,0
A1B18262,media,0,0
551C7DBY,media,0,0
75YYC4C5,media,0,0
2DFD33D6,media,0,0
49A7YF65,media,0,0
Z76266CB,media,0,0
FZ5YD113,media,0,0
Y26C4C2F,media,0,0
857714YB,media,0,0
AZ66FZ6C,media,0,0
FA83BC3C,media,0,0
BAAZ9413,media,0,0
B8481248,media,0,0
Y323Z117,media,0,0
C67371A7,media,0,0
C166CFAB,media,0,0
YC44F8YY,media,0,0
97D88D95,media,0,0
8AC6133Z,media,0,0
F9F6134B,media,0,0
F469CZA6,media,0,0
18Z41CD1,media,0,0
Z4B97754,media,5,5
78C9Z942,media,0,0
A913DYYF,media,0,0
49DAD869,media,0,0
C3A7A18B,media,0,0
2634C6DD,media,0,0
7529BBY8,media,2,2
664Y82Y7,media,0,0
82D9Y74C,media,0,0
C4ZCAFZ8,media,0,0
YAYA891A,media,0,0
B2F5ZZ43,media,0,0
Y68311B1,media,0,0
6Y1584C1,media,0,0
729DY4A8,media,0,0
3F2DD19B,media,0,0
279A7Z97,media,0,0
5D5Y2Y76,media,0,0
D4YZ6D64,media,0,0
YZ5DB5AA,media,0,0
588575YC,media,0,0
BB8B2DA6,media,0,0
8949C6ZY,media,0,0
Y9456D4Y,media,0,0
38CD32F7,media,0,0
B8C65FCB,media,0,0
DZ45A89C,media,0,0
A9YA7YYA,media,1,1
FA179ZZ4,media,0,0
5744B6ZY,media,0,0
1FAZCZB5,media,0,0
7A18DZ12,media,0,0
YCA13ZDZ,media,0,0
Y5633C13,media,0,0
58C58ZYF,media,0,0
3B8258F3,media,0,0
45D5Y87B,media,0,0
9119F279,media,0,0
F8595698,media,0,0
9D6D9AD6,media,0,0
463Y251Z,media,0,0
2C4BYD8Y,media,0,0
Y2AZ1B5Z,media,0,0
YCB25B33,media,0,0
FAB69263,media,0,0
39496B52,media,0,0
AC3118ZD,media,0,0
D427DYB2,media,0,0
BAA44A2F,media,0,0
5B585Z59,media,0,0
