race_id,splitsMissing,count,pct
49603c2f-1b2b-457f-b82e-fed8bded1d3d,0,25393,94.55
49603c2f-1b2b-457f-b82e-fed8bded1d3d,1,933,3.47
49603c2f-1b2b-457f-b82e-fed8bded1d3d,2,139,0.52
49603c2f-1b2b-457f-b82e-fed8bded1d3d,3,93,0.35
49603c2f-1b2b-457f-b82e-fed8bded1d3d,4,67,0.25
49603c2f-1b2b-457f-b82e-fed8bded1d3d,5,52,0.19
49603c2f-1b2b-457f-b82e-fed8bded1d3d,6,47,0.17
49603c2f-1b2b-457f-b82e-fed8bded1d3d,7,59,0.22
49603c2f-1b2b-457f-b82e-fed8bded1d3d,8,32,0.12
49603c2f-1b2b-457f-b82e-fed8bded1d3d,9,26,0.1
49603c2f-1b2b-457f-b82e-fed8bded1d3d,10,17,0.06
