race_id,splitsMissing,count,pct
b228b93e-2a15-4123-baf9-ca0915165c6a,0,30719,96.97
b228b93e-2a15-4123-baf9-ca0915165c6a,1,700,2.21
b228b93e-2a15-4123-baf9-ca0915165c6a,2,107,0.34
b228b93e-2a15-4123-baf9-ca0915165c6a,3,71,0.22
b228b93e-2a15-4123-baf9-ca0915165c6a,4,55,0.17
b228b93e-2a15-4123-baf9-ca0915165c6a,5,27,0.09
01675eec-4b8b-4b92-80b7-5e22a1878f38,0,21025,85.22
01675eec-4b8b-4b92-80b7-5e22a1878f38,1,3280,13.3
01675eec-4b8b-4b92-80b7-5e22a1878f38,2,231,0.94
01675eec-4b8b-4b92-80b7-5e22a1878f38,3,71,0.29
01675eec-4b8b-4b92-80b7-5e22a1878f38,4,39,0.16
01675eec-4b8b-4b92-80b7-5e22a1878f38,5,24,0.1
